fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	GATE_transferred	10800	0.7916	0.4915	0.0262	-0.004	-0.0086	0.0365	0.5584	0.1029
0	ASYM_transferred	10800	0.7883	0.485	-0.0087	-0.0093	-0.015	0.0367	0.5585	0.1036
0	GATE_ASYM_transferred	10800	0.7908	0.4811	0.0984	-0.0053	-0.0188	0.0358	0.5586	0.1011
0	atac_LOCAL	10800	0.8003	0.4792	0.3007	0.0099	-0.0206	0.0314	0.561	0.0932
0	ungated_transferred	10800	0.7941	0.5002		0.0	0.0	0.0366	0.5585	0.1033
1	GATE_transferred	14362	0.8067	0.5509	0.0963	0.0006	0.0032	0.0448	0.5646	0.1215
1	ASYM_transferred	14362	0.8054	0.5429	0.0976	-0.0014	-0.0056	0.0437	0.5647	0.1191
1	GATE_ASYM_transferred	14362	0.8051	0.5391	0.1039	-0.0019	-0.0097	0.0441	0.5646	0.1207
1	atac_LOCAL	14362	0.7989	0.5176	0.2651	-0.0119	-0.0324	0.0374	0.5678	0.1062
1	ungated_transferred	14362	0.8063	0.548		0.0	0.0	0.0441	0.5645	0.1204
2	GATE_transferred	10491	0.7814	0.536	0.0828	0.0036	-0.0127	0.0394	0.5605	0.1101
2	ASYM_transferred	10491	0.7813	0.5337	0.1186	0.0034	-0.0152	0.038	0.5608	0.1057
2	GATE_ASYM_transferred	10491	0.7801	0.5216	0.118	0.0016	-0.0279	0.0386	0.5607	0.1078
2	atac_LOCAL	10491	0.7829	0.5139	0.275	0.006	-0.0358	0.0336	0.5632	0.0973
2	ungated_transferred	10491	0.7791	0.5477		0.0	0.0	0.0391	0.5605	0.1091
3	GATE_transferred	11028	0.7939	0.529	0.1908	0.0081	0.022	0.0396	0.5662	0.1072
3	ASYM_transferred	11028	0.7914	0.5133	0.1684	0.0042	0.0057	0.04	0.566	0.1087
3	GATE_ASYM_transferred	11028	0.7886	0.504	0.1516	-0.0001	-0.0038	0.0396	0.566	0.1077
3	atac_LOCAL	11028	0.8024	0.5251	0.3377	0.0217	0.0179	0.0341	0.5687	0.0963
3	ungated_transferred	11028	0.7887	0.5078		0.0	0.0	0.0399	0.5662	0.1083
4	GATE_transferred	10463	0.7658	0.5394	0.0153	-0.0062	-0.0125	0.0362	0.5626	0.0994
4	ASYM_transferred	10463	0.7717	0.5405	0.0931	0.0029	-0.0114	0.0366	0.5626	0.1005
4	GATE_ASYM_transferred	10463	0.7704	0.5449	0.0848	0.001	-0.0066	0.0371	0.5625	0.1021
4	atac_LOCAL	10463	0.7747	0.5527	0.3006	0.0076	0.002	0.0318	0.565	0.0896
4	ungated_transferred	10463	0.7698	0.5509		0.0	0.0	0.0366	0.5626	0.1005
