fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	negatives_GCMATCHED	10143	0.8856	0.6962	0.1114	-0.0015	-0.004	0.0624	0.5981	0.1661
0	negatives_UNMATCHED	10143	0.8865	0.6991		0.0	0.0	0.0622	0.5982	0.1657
1	negatives_GCMATCHED	14392	0.8872	0.6927	0.1505	0.0019	-0.005	0.0704	0.5967	0.1912
1	negatives_UNMATCHED	14392	0.8861	0.6963		0.0	0.0	0.0702	0.5966	0.1904
2	negatives_GCMATCHED	12801	0.8491	0.6937	0.0881	-0.0022	-0.008	0.0644	0.608	0.171
2	negatives_UNMATCHED	12801	0.8505	0.6994		0.0	0.0	0.0644	0.6079	0.1706
3	negatives_GCMATCHED	12021	0.8876	0.7148	0.1506	0.0021	0.0158	0.0677	0.6086	0.1831
3	negatives_UNMATCHED	12021	0.8864	0.7037		0.0	0.0	0.0679	0.6088	0.1841
4	negatives_GCMATCHED	9298	0.8826	0.7026	0.14	0.0027	0.0092	0.062	0.5963	0.1679
4	negatives_UNMATCHED	9298	0.8811	0.6961		0.0	0.0	0.0615	0.5965	0.1668
