fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	negatives_GCMATCHED_transferred	10800	0.791	0.4984	0.0344	-0.0049	-0.0018	0.0366	0.5584	0.1033
0	atac_LOCAL	10800	0.8003	0.4792	0.3007	0.0099	-0.0206	0.0314	0.561	0.0932
0	negatives_UNMATCHED_transferred	10800	0.7941	0.5002		0.0	0.0	0.0366	0.5585	0.1033
1	negatives_GCMATCHED_transferred	14362	0.8039	0.5386	0.0601	-0.0038	-0.0103	0.0442	0.5646	0.1203
1	atac_LOCAL	14362	0.7989	0.5176	0.2651	-0.0119	-0.0324	0.0374	0.5678	0.1062
1	negatives_UNMATCHED_transferred	14362	0.8063	0.548		0.0	0.0	0.0441	0.5645	0.1204
2	negatives_GCMATCHED_transferred	10491	0.7806	0.5467	0.0849	0.0023	-0.0011	0.0388	0.5606	0.1084
2	atac_LOCAL	10491	0.7829	0.5139	0.275	0.006	-0.0358	0.0336	0.5632	0.0973
2	negatives_UNMATCHED_transferred	10491	0.7791	0.5477		0.0	0.0	0.0391	0.5605	0.1091
3	negatives_GCMATCHED_transferred	11028	0.7925	0.5116	0.1683	0.006	0.0039	0.0398	0.5661	0.1083
3	atac_LOCAL	11028	0.8024	0.5251	0.3377	0.0217	0.0179	0.0341	0.5687	0.0963
3	negatives_UNMATCHED_transferred	11028	0.7887	0.5078		0.0	0.0	0.0399	0.5662	0.1083
4	negatives_GCMATCHED_transferred	10463	0.772	0.5475	0.0653	0.0034	-0.0037	0.037	0.5624	0.102
4	atac_LOCAL	10463	0.7747	0.5527	0.3006	0.0076	0.002	0.0318	0.565	0.0896
4	negatives_UNMATCHED_transferred	10463	0.7698	0.5509		0.0	0.0	0.0366	0.5626	0.1005
