fold	config	n	residual_pearson	partial_r	r_out_vs_atac	overall_pearson	incremental_r2	overall_pearson_topq	incremental_r2_topq
0	sequence5p	10800	0.1343	0.1898	0.4734	0.4751	-0.3898	0.2069	-0.1616
0	multimodal5p	10800	0.4518	0.4563	0.9183	0.8325	0.0775	0.5659	0.1159
0	residual_sequence	10800	0.3751	0.3752	-0.0304	0.8181	0.0537	0.5414	0.0887
0	residual_multimodal	10800	0.4231	0.4232	0.0075	0.8272	0.0686	0.5468	0.0946
0	residual_atac	10800	-0.0069	-0.021	-0.9076	0.7845	-0.0002	0.452	-0.0001
1	sequence5p	14362	0.1796	0.2184	0.4987	0.5071	-0.3491	0.2169	-0.1886
1	multimodal5p	14362	0.4913	0.4915	0.9234	0.8374	0.0949	0.5772	0.0975
1	residual_sequence	14362	0.4229	0.4218	-0.0681	0.8221	0.0697	0.5632	0.0816
1	residual_multimodal	14362	0.4492	0.4499	0.0107	0.8282	0.0797	0.5661	0.0848
1	residual_atac	14362	0.0505	0.037	-0.7749	0.7789	0.0004	0.4864	0.001
2	sequence5p	10491	0.147	0.1943	0.51	0.4978	-0.3376	0.264	-0.1884
2	multimodal5p	10491	0.4438	0.4443	0.9177	0.8158	0.0801	0.591	0.0912
2	residual_sequence	10491	0.3609	0.3609	-0.0043	0.7993	0.0535	0.5782	0.0762
2	residual_multimodal	10491	0.41	0.4124	0.0703	0.8098	0.0704	0.585	0.0841
2	residual_atac	10491	0.0013	0.0106	0.42	0.7651	0.0	0.5083	0.0002
3	sequence5p	11028	0.087	0.1214	0.4914	0.4528	-0.4179	0.203	-0.2169
3	multimodal5p	11028	0.4117	0.4115	0.9298	0.8269	0.0607	0.5732	0.0704
3	residual_sequence	11028	0.3421	0.342	-0.0105	0.8166	0.044	0.5492	0.0434
3	residual_multimodal	11028	0.3688	0.3684	-0.0565	0.8211	0.0512	0.5615	0.0572
3	residual_atac	11028	0.0138	-0.0004	-0.7668	0.7892	-0.0001	0.509	0.001
4	sequence5p	10463	0.117	0.1656	0.4576	0.4433	-0.3804	0.2167	-0.2203
4	multimodal5p	10463	0.4479	0.4484	0.9149	0.8127	0.0835	0.5931	0.0845
4	residual_sequence	10463	0.3593	0.3592	-0.0113	0.7941	0.0536	0.564	0.0508
4	residual_multimodal	10463	0.4202	0.4219	0.0674	0.8076	0.0752	0.5776	0.0664
4	residual_atac	10463	-0.0063	-0.0019	0.4351	0.7595	-0.0	0.5174	0.0005
