config	mode	stratum	n	overall_pearson	residual_pearson	residual_spearman	incremental_r2
sequence5p	sequence	all	57144	0.4793	0.1381	0.1039	-0.3731
sequence5p	sequence	abs_resid_q1	11429	0.5712	-0.019	-0.0227	-0.6634
sequence5p	sequence	abs_resid_q2	11429	0.5471	-0.0051	-0.0109	-0.6292
sequence5p	sequence	abs_resid_q3	11428	0.5166	0.003	-0.0052	-0.543
sequence5p	sequence	abs_resid_q4	11429	0.4647	0.036	0.0371	-0.4112
sequence5p	sequence	abs_resid_q5	11429	0.3565	0.3551	0.3589	0.0129
multimodal5p	multimodal	all	57144	0.8254	0.4498	0.423	0.0785
multimodal5p	multimodal	abs_resid_q1	11429	0.9506	0.0724	0.0748	-0.086
multimodal5p	multimodal	abs_resid_q2	11429	0.9323	0.1905	0.1748	-0.0593
multimodal5p	multimodal	abs_resid_q3	11428	0.8964	0.339	0.3099	-0.0063
multimodal5p	multimodal	abs_resid_q4	11429	0.8346	0.4478	0.4144	0.0694
multimodal5p	multimodal	abs_resid_q5	11429	0.6096	0.6085	0.5948	0.2575
residual_sequence	sequence	all	57144	0.8118	0.3766	0.3537	0.0561
residual_sequence	sequence	abs_resid_q1	11429	0.9641	0.0633	0.0608	-0.0601
residual_sequence	sequence	abs_resid_q2	11429	0.943	0.1545	0.143	-0.0393
residual_sequence	sequence	abs_resid_q3	11428	0.8994	0.2772	0.2467	-0.0009
residual_sequence	sequence	abs_resid_q4	11429	0.8255	0.3883	0.3524	0.0544
residual_sequence	sequence	abs_resid_q5	11429	0.528	0.5379	0.5309	0.1647
residual_multimodal	multimodal	all	57144	0.8198	0.4171	0.3887	0.0692
residual_multimodal	multimodal	abs_resid_q1	11429	0.9637	0.0546	0.0579	-0.0609
residual_multimodal	multimodal	abs_resid_q2	11429	0.9432	0.1828	0.1634	-0.0389
residual_multimodal	multimodal	abs_resid_q3	11428	0.8992	0.2994	0.2714	-0.0012
residual_multimodal	multimodal	abs_resid_q4	11429	0.8317	0.4253	0.3966	0.0646
residual_multimodal	multimodal	abs_resid_q5	11429	0.562	0.5645	0.5552	0.2018
residual_atac	atac	all	57144	0.7762	0.0033	-0.0126	-0.0003
residual_atac	atac	abs_resid_q1	11429	0.9947	-0.0083	-0.007	-0.0003
residual_atac	atac	abs_resid_q2	11429	0.9634	-0.041	-0.0344	-0.0003
residual_atac	atac	abs_resid_q3	11428	0.8997	-0.061	-0.0498	-0.0004
residual_atac	atac	abs_resid_q4	11429	0.7918	-0.0565	-0.0412	-0.0002
residual_atac	atac	abs_resid_q5	11429	0.3372	0.0733	0.0701	-0.0004
