config	mode	half_window	n_folds	stratum	n	pearson	spearman
K562seq_on_GM12878	sequence	500	5	all	57144	0.2742	0.2772
K562seq_on_GM12878	sequence	500	5	quintile1	11429	0.0184	0.0252
K562seq_on_GM12878	sequence	500	5	quintile2	11429	0.0056	0.0064
K562seq_on_GM12878	sequence	500	5	quintile3	11428	0.0149	0.0085
K562seq_on_GM12878	sequence	500	5	quintile4	11429	0.1372	0.1215
K562seq_on_GM12878	sequence	500	5	quintile5	11429	0.1533	0.1566
K562seq_on_GM12878	sequence	500	5	top_quintile	11429	0.1533	0.1566
K562seq_on_GM12878	sequence	500	5	top_two_quintiles	22858	0.3101	0.295
K562atac_on_GM12878	atac	500	5	all	57144	0.6644	0.7322
K562atac_on_GM12878	atac	500	5	quintile1	11429	0.1526	0.1391
K562atac_on_GM12878	atac	500	5	quintile2	11429	0.1208	0.1168
K562atac_on_GM12878	atac	500	5	quintile3	11428	0.1539	0.1539
K562atac_on_GM12878	atac	500	5	quintile4	11429	0.317	0.3172
K562atac_on_GM12878	atac	500	5	quintile5	11429	0.4727	0.4925
K562atac_on_GM12878	atac	500	5	top_quintile	11429	0.4727	0.4925
K562atac_on_GM12878	atac	500	5	top_two_quintiles	22858	0.6477	0.66
K562multimodal_on_GM12878	multimodal	500	5	all	57144	0.6947	0.7522
K562multimodal_on_GM12878	multimodal	500	5	quintile1	11429	0.2385	0.2161
K562multimodal_on_GM12878	multimodal	500	5	quintile2	11429	0.1384	0.136
K562multimodal_on_GM12878	multimodal	500	5	quintile3	11428	0.1654	0.1673
K562multimodal_on_GM12878	multimodal	500	5	quintile4	11429	0.3055	0.3087
K562multimodal_on_GM12878	multimodal	500	5	quintile5	11429	0.5219	0.537
K562multimodal_on_GM12878	multimodal	500	5	top_quintile	11429	0.5219	0.537
K562multimodal_on_GM12878	multimodal	500	5	top_two_quintiles	22858	0.6679	0.6757
