config	mode	half_window	stratum	n_folds	pearson_mean	pearson_sd	ci95_half_width	ci95_lo	ci95_hi
K562seq_on_GM12878	sequence	500	all	5	0.2727	0.0285	0.0354	0.2373	0.3081
K562seq_on_GM12878	sequence	500	quintile1	5	0.0176	0.0427	0.0531	-0.0354	0.0707
K562seq_on_GM12878	sequence	500	quintile2	5	0.0182	0.0197	0.0244	-0.0062	0.0426
K562seq_on_GM12878	sequence	500	quintile3	5	0.0358	0.0365	0.0453	-0.0095	0.081
K562seq_on_GM12878	sequence	500	quintile4	5	0.1314	0.0138	0.0171	0.1143	0.1485
K562seq_on_GM12878	sequence	500	quintile5	5	0.146	0.0275	0.0341	0.1119	0.1801
K562seq_on_GM12878	sequence	500	top_quintile	5	0.146	0.0275	0.0341	0.1119	0.1801
K562seq_on_GM12878	sequence	500	top_two_quintiles	5	0.3127	0.0205	0.0255	0.2872	0.3382
K562atac_on_GM12878	atac	500	all	5	0.6642	0.015	0.0187	0.6455	0.6828
K562atac_on_GM12878	atac	500	quintile1	5	0.1537	0.0217	0.0269	0.1268	0.1806
K562atac_on_GM12878	atac	500	quintile2	5	0.1209	0.0245	0.0304	0.0905	0.1513
K562atac_on_GM12878	atac	500	quintile3	5	0.1592	0.0093	0.0115	0.1477	0.1707
K562atac_on_GM12878	atac	500	quintile4	5	0.31	0.0227	0.0282	0.2818	0.3382
K562atac_on_GM12878	atac	500	quintile5	5	0.4667	0.0271	0.0336	0.4331	0.5004
K562atac_on_GM12878	atac	500	top_quintile	5	0.4667	0.0271	0.0336	0.4331	0.5004
K562atac_on_GM12878	atac	500	top_two_quintiles	5	0.6481	0.0089	0.0111	0.637	0.6592
K562multimodal_on_GM12878	multimodal	500	all	5	0.6943	0.0143	0.0178	0.6766	0.7121
K562multimodal_on_GM12878	multimodal	500	quintile1	5	0.2359	0.0237	0.0294	0.2065	0.2653
K562multimodal_on_GM12878	multimodal	500	quintile2	5	0.1375	0.0292	0.0363	0.1012	0.1738
K562multimodal_on_GM12878	multimodal	500	quintile3	5	0.1715	0.0069	0.0086	0.1629	0.1801
K562multimodal_on_GM12878	multimodal	500	quintile4	5	0.2962	0.0231	0.0287	0.2676	0.3249
K562multimodal_on_GM12878	multimodal	500	quintile5	5	0.5181	0.0227	0.0282	0.4898	0.5463
K562multimodal_on_GM12878	multimodal	500	top_quintile	5	0.5181	0.0227	0.0282	0.4898	0.5463
K562multimodal_on_GM12878	multimodal	500	top_two_quintiles	5	0.6677	0.0135	0.0167	0.651	0.6845
