config	mode	half_window	fold	stratum	n	pearson	spearman
K562seq_on_GM12878	sequence	500	0	all	10800	0.2495	0.2492
K562seq_on_GM12878	sequence	500	0	quintile1	2160	-0.0278	-0.0037
K562seq_on_GM12878	sequence	500	0	quintile2	2160	0.0151	0.0199
K562seq_on_GM12878	sequence	500	0	quintile3	2160	0.0551	0.0382
K562seq_on_GM12878	sequence	500	0	quintile4	2160	0.1407	0.1159
K562seq_on_GM12878	sequence	500	0	quintile5	2160	0.104	0.1015
K562seq_on_GM12878	sequence	500	0	top_quintile	2160	0.104	0.1015
K562seq_on_GM12878	sequence	500	0	top_two_quintiles	4320	0.2895	0.2678
K562seq_on_GM12878	sequence	500	1	all	14362	0.3125	0.3121
K562seq_on_GM12878	sequence	500	1	quintile1	2873	0.0571	0.0577
K562seq_on_GM12878	sequence	500	1	quintile2	2872	0.0266	0.0285
K562seq_on_GM12878	sequence	500	1	quintile3	2872	0.0175	0.0065
K562seq_on_GM12878	sequence	500	1	quintile4	2872	0.1446	0.1315
K562seq_on_GM12878	sequence	500	1	quintile5	2873	0.1407	0.1378
K562seq_on_GM12878	sequence	500	1	top_quintile	2873	0.1407	0.1378
K562seq_on_GM12878	sequence	500	1	top_two_quintiles	5745	0.3175	0.3025
K562seq_on_GM12878	sequence	500	2	all	10491	0.2874	0.303
K562seq_on_GM12878	sequence	500	2	quintile1	2099	-0.0098	0.0052
K562seq_on_GM12878	sequence	500	2	quintile2	2098	0.0151	0.0137
K562seq_on_GM12878	sequence	500	2	quintile3	2098	0.0832	0.0732
K562seq_on_GM12878	sequence	500	2	quintile4	2098	0.1319	0.1211
K562seq_on_GM12878	sequence	500	2	quintile5	2098	0.1488	0.1623
K562seq_on_GM12878	sequence	500	2	top_quintile	2098	0.1488	0.1623
K562seq_on_GM12878	sequence	500	2	top_two_quintiles	4196	0.3439	0.3369
K562seq_on_GM12878	sequence	500	3	all	11028	0.2717	0.2806
K562seq_on_GM12878	sequence	500	3	quintile1	2206	-0.0001	0.0022
K562seq_on_GM12878	sequence	500	3	quintile2	2205	-0.0099	-0.0117
K562seq_on_GM12878	sequence	500	3	quintile3	2206	-0.0128	-0.0104
K562seq_on_GM12878	sequence	500	3	quintile4	2205	0.1305	0.1135
K562seq_on_GM12878	sequence	500	3	quintile5	2206	0.1575	0.164
K562seq_on_GM12878	sequence	500	3	top_quintile	2206	0.1575	0.164
K562seq_on_GM12878	sequence	500	3	top_two_quintiles	4411	0.3122	0.298
K562seq_on_GM12878	sequence	500	4	all	10463	0.2425	0.2395
K562seq_on_GM12878	sequence	500	4	quintile1	2093	0.0688	0.0641
K562seq_on_GM12878	sequence	500	4	quintile2	2092	0.0441	0.0506
K562seq_on_GM12878	sequence	500	4	quintile3	2093	0.0359	0.0516
K562seq_on_GM12878	sequence	500	4	quintile4	2092	0.1091	0.0945
K562seq_on_GM12878	sequence	500	4	quintile5	2093	0.1789	0.1779
K562seq_on_GM12878	sequence	500	4	top_quintile	2093	0.1789	0.1779
K562seq_on_GM12878	sequence	500	4	top_two_quintiles	4185	0.3005	0.2809
K562atac_on_GM12878	atac	500	0	all	10800	0.6688	0.7393
K562atac_on_GM12878	atac	500	0	quintile1	2160	0.1782	0.1423
K562atac_on_GM12878	atac	500	0	quintile2	2160	0.1308	0.1268
K562atac_on_GM12878	atac	500	0	quintile3	2160	0.1577	0.1635
K562atac_on_GM12878	atac	500	0	quintile4	2160	0.3087	0.3127
K562atac_on_GM12878	atac	500	0	quintile5	2160	0.4244	0.4433
K562atac_on_GM12878	atac	500	0	top_quintile	2160	0.4244	0.4433
K562atac_on_GM12878	atac	500	0	top_two_quintiles	4320	0.6353	0.649
K562atac_on_GM12878	atac	500	1	all	14362	0.6743	0.7424
K562atac_on_GM12878	atac	500	1	quintile1	2873	0.1429	0.1124
K562atac_on_GM12878	atac	500	1	quintile2	2872	0.1548	0.1614
K562atac_on_GM12878	atac	500	1	quintile3	2872	0.1576	0.1579
K562atac_on_GM12878	atac	500	1	quintile4	2872	0.3191	0.3191
K562atac_on_GM12878	atac	500	1	quintile5	2873	0.4806	0.4956
K562atac_on_GM12878	atac	500	1	top_quintile	2873	0.4806	0.4956
K562atac_on_GM12878	atac	500	1	top_two_quintiles	5745	0.6487	0.6642
K562atac_on_GM12878	atac	500	2	all	10491	0.6469	0.718
K562atac_on_GM12878	atac	500	2	quintile1	2099	0.1408	0.1283
K562atac_on_GM12878	atac	500	2	quintile2	2098	0.1161	0.1191
K562atac_on_GM12878	atac	500	2	quintile3	2098	0.15	0.1571
K562atac_on_GM12878	atac	500	2	quintile4	2098	0.2782	0.2778
K562atac_on_GM12878	atac	500	2	quintile5	2098	0.4569	0.4787
K562atac_on_GM12878	atac	500	2	top_quintile	2098	0.4569	0.4787
K562atac_on_GM12878	atac	500	2	top_two_quintiles	4196	0.644	0.6563
K562atac_on_GM12878	atac	500	3	all	11028	0.6809	0.7491
K562atac_on_GM12878	atac	500	3	quintile1	2206	0.1311	0.1537
K562atac_on_GM12878	atac	500	3	quintile2	2205	0.115	0.1125
K562atac_on_GM12878	atac	500	3	quintile3	2206	0.1748	0.1734
K562atac_on_GM12878	atac	500	3	quintile4	2205	0.3404	0.3394
K562atac_on_GM12878	atac	500	3	quintile5	2206	0.478	0.4966
K562atac_on_GM12878	atac	500	3	top_quintile	2206	0.478	0.4966
K562atac_on_GM12878	atac	500	3	top_two_quintiles	4411	0.6579	0.6723
K562atac_on_GM12878	atac	500	4	all	10463	0.65	0.7123
K562atac_on_GM12878	atac	500	4	quintile1	2093	0.1757	0.1751
K562atac_on_GM12878	atac	500	4	quintile2	2092	0.0878	0.0875
K562atac_on_GM12878	atac	500	4	quintile3	2093	0.1559	0.1489
K562atac_on_GM12878	atac	500	4	quintile4	2092	0.3035	0.3011
K562atac_on_GM12878	atac	500	4	quintile5	2093	0.4937	0.5151
K562atac_on_GM12878	atac	500	4	top_quintile	2093	0.4937	0.5151
K562atac_on_GM12878	atac	500	4	top_two_quintiles	4185	0.6546	0.6612
K562multimodal_on_GM12878	multimodal	500	0	all	10800	0.6994	0.7596
K562multimodal_on_GM12878	multimodal	500	0	quintile1	2160	0.2588	0.2282
K562multimodal_on_GM12878	multimodal	500	0	quintile2	2160	0.1406	0.1473
K562multimodal_on_GM12878	multimodal	500	0	quintile3	2160	0.1735	0.1786
K562multimodal_on_GM12878	multimodal	500	0	quintile4	2160	0.2861	0.2948
K562multimodal_on_GM12878	multimodal	500	0	quintile5	2160	0.4828	0.4956
K562multimodal_on_GM12878	multimodal	500	0	top_quintile	2160	0.4828	0.4956
K562multimodal_on_GM12878	multimodal	500	0	top_two_quintiles	4320	0.6462	0.6556
