config	mode	half_window	n_folds	stratum	n	pearson	spearman
seq	sequence	500	5	all	57144	0.4793	0.4582
seq	sequence	500	5	quintile1	11429	0.0554	0.0612
seq	sequence	500	5	quintile2	11429	0.093	0.0908
seq	sequence	500	5	quintile3	11428	0.0908	0.0914
seq	sequence	500	5	quintile4	11429	0.1453	0.1383
seq	sequence	500	5	quintile5	11429	0.2221	0.2244
seq	sequence	500	5	top_quintile	11429	0.2221	0.2244
seq	sequence	500	5	top_two_quintiles	22858	0.364	0.3507
atac	atac	500	5	all	57144	0.7764	0.7462
atac	atac	500	5	quintile1	11429	0.125	0.1309
atac	atac	500	5	quintile2	11429	0.1496	0.1589
atac	atac	500	5	quintile3	11428	0.1754	0.1832
atac	atac	500	5	quintile4	11429	0.3332	0.3344
atac	atac	500	5	quintile5	11429	0.4961	0.5064
atac	atac	500	5	top_quintile	11429	0.4961	0.5064
atac	atac	500	5	top_two_quintiles	22858	0.6742	0.6757
multimodal	multimodal	500	5	all	57144	0.8254	0.8014
multimodal	multimodal	500	5	quintile1	11429	0.2032	0.2198
multimodal	multimodal	500	5	quintile2	11429	0.1936	0.2045
multimodal	multimodal	500	5	quintile3	11428	0.2074	0.2164
multimodal	multimodal	500	5	quintile4	11429	0.3456	0.3461
multimodal	multimodal	500	5	quintile5	11429	0.5783	0.5907
multimodal	multimodal	500	5	top_quintile	11429	0.5783	0.5907
multimodal	multimodal	500	5	top_two_quintiles	22858	0.7242	0.7249
