config	mode	half_window	stratum	n_folds	pearson_mean	pearson_sd	ci95_half_width	ci95_lo	ci95_hi
seq	sequence	500	all	5	0.4752	0.0276	0.0343	0.4409	0.5095
seq	sequence	500	quintile1	5	0.0385	0.0279	0.0347	0.0038	0.0732
seq	sequence	500	quintile2	5	0.0627	0.0179	0.0222	0.0405	0.0849
seq	sequence	500	quintile3	5	0.0864	0.0269	0.0334	0.053	0.1198
seq	sequence	500	quintile4	5	0.1495	0.0181	0.0225	0.127	0.1721
seq	sequence	500	quintile5	5	0.2213	0.0257	0.0319	0.1894	0.2532
seq	sequence	500	top_quintile	5	0.2213	0.0257	0.0319	0.1894	0.2532
seq	sequence	500	top_two_quintiles	5	0.362	0.026	0.0323	0.3297	0.3943
atac	atac	500	all	5	0.7754	0.0127	0.0158	0.7597	0.7912
atac	atac	500	quintile1	5	0.1197	0.0157	0.0194	0.1002	0.1391
atac	atac	500	quintile2	5	0.1282	0.0152	0.0189	0.1094	0.1471
atac	atac	500	quintile3	5	0.1689	0.006	0.0074	0.1615	0.1763
atac	atac	500	quintile4	5	0.3273	0.0256	0.0318	0.2955	0.3592
atac	atac	500	quintile5	5	0.4933	0.026	0.0323	0.461	0.5256
atac	atac	500	top_quintile	5	0.4933	0.026	0.0323	0.461	0.5256
atac	atac	500	top_two_quintiles	5	0.6732	0.0107	0.0133	0.6599	0.6865
multimodal	multimodal	500	all	5	0.8251	0.0106	0.0132	0.8119	0.8382
multimodal	multimodal	500	quintile1	5	0.2003	0.0242	0.0301	0.1702	0.2304
multimodal	multimodal	500	quintile2	5	0.1808	0.0201	0.0249	0.1559	0.2057
multimodal	multimodal	500	quintile3	5	0.2093	0.0142	0.0177	0.1916	0.227
multimodal	multimodal	500	quintile4	5	0.3473	0.0208	0.0259	0.3214	0.3731
multimodal	multimodal	500	quintile5	5	0.5794	0.0125	0.0155	0.5639	0.5948
multimodal	multimodal	500	top_quintile	5	0.5794	0.0125	0.0155	0.5639	0.5948
multimodal	multimodal	500	top_two_quintiles	5	0.7237	0.0069	0.0086	0.7151	0.7323
