config	mode	half_window	fold	stratum	n	pearson	spearman
seq	sequence	500	0	all	10800	0.4751	0.4574
seq	sequence	500	0	quintile1	2160	0.05	0.0518
seq	sequence	500	0	quintile2	2160	0.082	0.075
seq	sequence	500	0	quintile3	2160	0.0941	0.0906
seq	sequence	500	0	quintile4	2160	0.1439	0.1424
seq	sequence	500	0	quintile5	2160	0.2067	0.2052
seq	sequence	500	0	top_quintile	2160	0.2067	0.2052
seq	sequence	500	0	top_two_quintiles	4320	0.3346	0.3138
seq	sequence	500	1	all	14362	0.5071	0.4946
seq	sequence	500	1	quintile1	2873	0.0649	0.0776
seq	sequence	500	1	quintile2	2872	0.0737	0.0839
seq	sequence	500	1	quintile3	2872	0.1053	0.1056
seq	sequence	500	1	quintile4	2872	0.1444	0.1277
seq	sequence	500	1	quintile5	2873	0.2167	0.2208
seq	sequence	500	1	top_quintile	2873	0.2167	0.2208
seq	sequence	500	1	top_two_quintiles	5745	0.3636	0.3552
seq	sequence	500	2	all	10491	0.4978	0.4704
seq	sequence	500	2	quintile1	2099	0.0143	0.013
seq	sequence	500	2	quintile2	2098	0.0703	0.0719
seq	sequence	500	2	quintile3	2098	0.1108	0.1103
seq	sequence	500	2	quintile4	2098	0.1813	0.1714
seq	sequence	500	2	quintile5	2098	0.266	0.2547
seq	sequence	500	2	top_quintile	2098	0.266	0.2547
seq	sequence	500	2	top_two_quintiles	4196	0.4044	0.3907
seq	sequence	500	3	all	11028	0.4528	0.4287
seq	sequence	500	3	quintile1	2206	0.0033	0.0139
seq	sequence	500	3	quintile2	2205	0.0463	0.0473
seq	sequence	500	3	quintile3	2206	0.0782	0.0788
seq	sequence	500	3	quintile4	2205	0.1429	0.1261
seq	sequence	500	3	quintile5	2206	0.2021	0.2101
seq	sequence	500	3	top_quintile	2206	0.2021	0.2101
seq	sequence	500	3	top_two_quintiles	4411	0.3569	0.342
seq	sequence	500	4	all	10463	0.4433	0.418
seq	sequence	500	4	quintile1	2093	0.0602	0.0493
seq	sequence	500	4	quintile2	2092	0.0412	0.0455
seq	sequence	500	4	quintile3	2093	0.0438	0.0426
seq	sequence	500	4	quintile4	2092	0.1352	0.1303
seq	sequence	500	4	quintile5	2093	0.215	0.2245
seq	sequence	500	4	top_quintile	2093	0.215	0.2245
seq	sequence	500	4	top_two_quintiles	4185	0.3505	0.3385
atac	atac	500	0	all	10800	0.7846	0.7526
atac	atac	500	0	quintile1	2160	0.1252	0.1238
atac	atac	500	0	quintile2	2160	0.1362	0.1476
atac	atac	500	0	quintile3	2160	0.1669	0.1714
atac	atac	500	0	quintile4	2160	0.3384	0.3411
atac	atac	500	0	quintile5	2160	0.4526	0.4565
atac	atac	500	0	top_quintile	2160	0.4526	0.4565
atac	atac	500	0	top_two_quintiles	4320	0.6639	0.6671
atac	atac	500	1	all	14362	0.7786	0.7542
atac	atac	500	1	quintile1	2873	0.1087	0.1049
atac	atac	500	1	quintile2	2872	0.1399	0.1673
atac	atac	500	1	quintile3	2872	0.1599	0.1727
atac	atac	500	1	quintile4	2872	0.332	0.3356
atac	atac	500	1	quintile5	2873	0.4828	0.4934
atac	atac	500	1	top_quintile	2873	0.4828	0.4934
atac	atac	500	1	top_two_quintiles	5745	0.6636	0.6701
atac	atac	500	2	all	10491	0.7651	0.732
atac	atac	500	2	quintile1	2099	0.0988	0.1123
atac	atac	500	2	quintile2	2098	0.1038	0.1268
atac	atac	500	2	quintile3	2098	0.1697	0.1803
atac	atac	500	2	quintile4	2098	0.2872	0.2873
atac	atac	500	2	quintile5	2098	0.5069	0.5194
atac	atac	500	2	top_quintile	2098	0.5069	0.5194
atac	atac	500	2	top_two_quintiles	4196	0.6733	0.6712
atac	atac	500	3	all	11028	0.7893	0.7601
atac	atac	500	3	quintile1	2206	0.1378	0.1535
atac	atac	500	3	quintile2	2205	0.1382	0.132
atac	atac	500	3	quintile3	2206	0.1755	0.1798
atac	atac	500	3	quintile4	2205	0.3565	0.3581
atac	atac	500	3	quintile5	2206	0.5069	0.5154
atac	atac	500	3	top_quintile	2206	0.5069	0.5154
atac	atac	500	3	top_two_quintiles	4411	0.6897	0.6926
atac	atac	500	4	all	10463	0.7596	0.725
atac	atac	500	4	quintile1	2093	0.1278	0.1389
