config	mode	half_window	n_folds	stratum	n	pearson	spearman
seq	sequence	500	5	all	58655	0.3968	0.3286
seq	sequence	500	5	quintile1	11731	0.0435	0.0633
seq	sequence	500	5	quintile2	11731	0.036	0.0409
seq	sequence	500	5	quintile3	11731	0.0524	0.051
seq	sequence	500	5	quintile4	11731	0.0922	0.086
seq	sequence	500	5	quintile5	11731	0.3177	0.3143
seq	sequence	500	5	top_quintile	11731	0.3177	0.3143
seq	sequence	500	5	top_two_quintiles	23462	0.4077	0.3618
atac	atac	500	5	all	58655	0.8022	0.7607
atac	atac	500	5	quintile1	11731	0.1918	0.2061
atac	atac	500	5	quintile2	11731	0.1333	0.1396
atac	atac	500	5	quintile3	11731	0.1721	0.177
atac	atac	500	5	quintile4	11731	0.3218	0.3248
atac	atac	500	5	quintile5	11731	0.5424	0.549
atac	atac	500	5	top_quintile	11731	0.5424	0.549
atac	atac	500	5	top_two_quintiles	23462	0.7176	0.7107
multimodal	multimodal	500	5	all	58655	0.8239	0.7914
multimodal	multimodal	500	5	quintile1	11731	0.2696	0.2823
multimodal	multimodal	500	5	quintile2	11731	0.1525	0.1619
multimodal	multimodal	500	5	quintile3	11731	0.1974	0.1989
multimodal	multimodal	500	5	quintile4	11731	0.3083	0.3088
multimodal	multimodal	500	5	quintile5	11731	0.6018	0.6023
multimodal	multimodal	500	5	top_quintile	11731	0.6018	0.6023
multimodal	multimodal	500	5	top_two_quintiles	23462	0.723	0.7046
