config	mode	half_window	stratum	n_folds	pearson_mean	pearson_sd	ci95_half_width	ci95_lo	ci95_hi
seq	sequence	500	all	5	0.3903	0.0333	0.0414	0.3489	0.4317
seq	sequence	500	quintile1	5	0.0336	0.0188	0.0233	0.0103	0.057
seq	sequence	500	quintile2	5	0.0244	0.0164	0.0204	0.004	0.0448
seq	sequence	500	quintile3	5	0.0457	0.0123	0.0153	0.0304	0.061
seq	sequence	500	quintile4	5	0.088	0.0077	0.0096	0.0784	0.0975
seq	sequence	500	quintile5	5	0.3165	0.0361	0.0448	0.2717	0.3613
seq	sequence	500	top_quintile	5	0.3165	0.0361	0.0448	0.2717	0.3613
seq	sequence	500	top_two_quintiles	5	0.4041	0.0265	0.0329	0.3712	0.437
atac	atac	500	all	5	0.8022	0.0183	0.0227	0.7795	0.8248
atac	atac	500	quintile1	5	0.1857	0.0243	0.0301	0.1556	0.2158
atac	atac	500	quintile2	5	0.1317	0.0217	0.0269	0.1048	0.1587
atac	atac	500	quintile3	5	0.1798	0.0184	0.0228	0.157	0.2026
atac	atac	500	quintile4	5	0.3345	0.0416	0.0517	0.2827	0.3862
atac	atac	500	quintile5	5	0.5389	0.0383	0.0476	0.4913	0.5864
atac	atac	500	top_quintile	5	0.5389	0.0383	0.0476	0.4913	0.5864
atac	atac	500	top_two_quintiles	5	0.7205	0.0233	0.0289	0.6916	0.7494
multimodal	multimodal	500	all	5	0.8285	0.022	0.0274	0.8011	0.8558
multimodal	multimodal	500	quintile1	5	0.2745	0.0333	0.0414	0.2331	0.3158
multimodal	multimodal	500	quintile2	5	0.1547	0.0255	0.0317	0.123	0.1864
multimodal	multimodal	500	quintile3	5	0.2046	0.0176	0.0219	0.1827	0.2265
multimodal	multimodal	500	quintile4	5	0.3384	0.0503	0.0625	0.2759	0.4008
multimodal	multimodal	500	quintile5	5	0.6004	0.019	0.0236	0.5768	0.6239
multimodal	multimodal	500	top_quintile	5	0.6004	0.019	0.0236	0.5768	0.6239
multimodal	multimodal	500	top_two_quintiles	5	0.7357	0.039	0.0484	0.6874	0.7841
