config	mode	half_window	fold	stratum	n	pearson	spearman
seq	sequence	500	0	all	10143	0.3774	0.3058
seq	sequence	500	0	quintile1	2029	0.0648	0.0753
seq	sequence	500	0	quintile2	2028	0.0045	0.0056
seq	sequence	500	0	quintile3	2029	0.0326	0.0322
seq	sequence	500	0	quintile4	2028	0.0897	0.0726
seq	sequence	500	0	quintile5	2029	0.2901	0.2885
seq	sequence	500	0	top_quintile	2029	0.2901	0.2885
seq	sequence	500	0	top_two_quintiles	4057	0.3746	0.3204
seq	sequence	500	1	all	14392	0.4497	0.3952
seq	sequence	500	1	quintile1	2879	0.0273	0.0578
seq	sequence	500	1	quintile2	2878	0.0335	0.0431
seq	sequence	500	1	quintile3	2878	0.0634	0.0597
seq	sequence	500	1	quintile4	2878	0.0842	0.0774
seq	sequence	500	1	quintile5	2879	0.3068	0.3016
seq	sequence	500	1	top_quintile	2879	0.3068	0.3016
seq	sequence	500	1	top_two_quintiles	5757	0.4134	0.3781
seq	sequence	500	2	all	12801	0.3765	0.3012
seq	sequence	500	2	quintile1	2561	0.035	0.0407
seq	sequence	500	2	quintile2	2560	0.0379	0.052
seq	sequence	500	2	quintile3	2560	0.0355	0.0395
seq	sequence	500	2	quintile4	2560	0.0899	0.0917
seq	sequence	500	2	quintile5	2560	0.3265	0.3209
seq	sequence	500	2	top_quintile	2560	0.3265	0.3209
seq	sequence	500	2	top_two_quintiles	5120	0.4147	0.361
seq	sequence	500	3	all	12021	0.3769	0.294
seq	sequence	500	3	quintile1	2405	0.0257	0.0648
seq	sequence	500	3	quintile2	2404	0.0086	0.0031
seq	sequence	500	3	quintile3	2404	0.0493	0.0411
seq	sequence	500	3	quintile4	2404	0.0776	0.071
seq	sequence	500	3	quintile5	2404	0.3742	0.3491
seq	sequence	500	3	top_quintile	2404	0.3742	0.3491
seq	sequence	500	3	top_two_quintiles	4808	0.438	0.3807
seq	sequence	500	4	all	9298	0.371	0.3107
seq	sequence	500	4	quintile1	1860	0.0153	0.0223
seq	sequence	500	4	quintile2	1859	0.0374	0.0299
seq	sequence	500	4	quintile3	1860	0.0477	0.0491
seq	sequence	500	4	quintile4	1859	0.0984	0.094
seq	sequence	500	4	quintile5	1860	0.285	0.2842
seq	sequence	500	4	top_quintile	1860	0.285	0.2842
seq	sequence	500	4	top_two_quintiles	3719	0.3798	0.3353
atac	atac	500	0	all	10143	0.8035	0.7649
atac	atac	500	0	quintile1	2029	0.2053	0.2074
atac	atac	500	0	quintile2	2028	0.124	0.1247
atac	atac	500	0	quintile3	2029	0.1543	0.1561
atac	atac	500	0	quintile4	2028	0.3449	0.3471
atac	atac	500	0	quintile5	2029	0.5131	0.5288
atac	atac	500	0	top_quintile	2029	0.5131	0.5288
atac	atac	500	0	top_two_quintiles	4057	0.7134	0.7137
atac	atac	500	1	all	14392	0.8062	0.7699
atac	atac	500	1	quintile1	2879	0.1989	0.203
atac	atac	500	1	quintile2	2878	0.1469	0.1558
atac	atac	500	1	quintile3	2878	0.1967	0.2079
atac	atac	500	1	quintile4	2878	0.3546	0.3605
atac	atac	500	1	quintile5	2879	0.4848	0.4894
atac	atac	500	1	top_quintile	2879	0.4848	0.4894
atac	atac	500	1	top_two_quintiles	5757	0.6999	0.7038
atac	atac	500	2	all	12801	0.774	0.7262
atac	atac	500	2	quintile1	2561	0.1492	0.1693
atac	atac	500	2	quintile2	2560	0.1075	0.111
atac	atac	500	2	quintile3	2560	0.1687	0.1781
atac	atac	500	2	quintile4	2560	0.2608	0.2653
atac	atac	500	2	quintile5	2560	0.5705	0.5828
atac	atac	500	2	top_quintile	2560	0.5705	0.5828
atac	atac	500	2	top_two_quintiles	5120	0.7064	0.6879
atac	atac	500	3	all	12021	0.825	0.7758
atac	atac	500	3	quintile1	2405	0.1724	0.1952
atac	atac	500	3	quintile2	2404	0.1193	0.1358
atac	atac	500	3	quintile3	2404	0.1965	0.2001
atac	atac	500	3	quintile4	2404	0.3619	0.3633
atac	atac	500	3	quintile5	2404	0.5707	0.5734
atac	atac	500	3	top_quintile	2404	0.5707	0.5734
atac	atac	500	3	top_two_quintiles	4808	0.759	0.753
atac	atac	500	4	all	9298	0.8022	0.7619
atac	atac	500	4	quintile1	1860	0.2026	0.2054
atac	atac	500	4	quintile2	1859	0.1609	0.1607
atac	atac	500	4	quintile3	1860	0.1828	0.1841
atac	atac	500	4	quintile4	1859	0.3501	0.3416
atac	atac	500	4	quintile5	1860	0.5552	0.5607
atac	atac	500	4	top_quintile	1860	0.5552	0.5607
atac	atac	500	4	top_two_quintiles	3719	0.7238	0.715
multimodal	multimodal	500	0	all	10143	0.84	0.8058
multimodal	multimodal	500	0	quintile1	2029	0.2905	0.271
multimodal	multimodal	500	0	quintile2	2028	0.1293	0.127
multimodal	multimodal	500	0	quintile3	2029	0.2053	0.191
multimodal	multimodal	500	0	quintile4	2028	0.3576	0.3551
multimodal	multimodal	500	0	quintile5	2029	0.5978	0.6079
multimodal	multimodal	500	0	top_quintile	2029	0.5978	0.6079
multimodal	multimodal	500	0	top_two_quintiles	4057	0.7429	0.7295
multimodal	multimodal	500	1	all	14392	0.84	0.8096
multimodal	multimodal	500	1	quintile1	2879	0.2572	0.2683
multimodal	multimodal	500	1	quintile2	2878	0.1957	0.2055
multimodal	multimodal	500	1	quintile3	2878	0.2258	0.2357
multimodal	multimodal	500	1	quintile4	2878	0.3664	0.3707
multimodal	multimodal	500	1	quintile5	2879	0.5807	0.5882
multimodal	multimodal	500	1	top_quintile	2879	0.5807	0.5882
multimodal	multimodal	500	1	top_two_quintiles	5757	0.742	0.7353
multimodal	multimodal	500	2	all	12801	0.7895	0.761
multimodal	multimodal	500	2	quintile1	2561	0.2439	0.271
multimodal	multimodal	500	2	quintile2	2560	0.1524	0.1568
multimodal	multimodal	500	2	quintile3	2560	0.1774	0.181
multimodal	multimodal	500	2	quintile4	2560	0.2491	0.2508
multimodal	multimodal	500	2	quintile5	2560	0.5839	0.5913
multimodal	multimodal	500	2	top_quintile	2560	0.5839	0.5913
multimodal	multimodal	500	2	top_two_quintiles	5120	0.6693	0.6463
multimodal	multimodal	500	3	all	12021	0.8404	0.7948
multimodal	multimodal	500	3	quintile1	2405	0.2554	0.2762
multimodal	multimodal	500	3	quintile2	2404	0.1383	0.1489
multimodal	multimodal	500	3	quintile3	2404	0.2116	0.2068
multimodal	multimodal	500	3	quintile4	2404	0.3671	0.3718
multimodal	multimodal	500	3	quintile5	2404	0.6232	0.6259
multimodal	multimodal	500	3	top_quintile	2404	0.6232	0.6259
multimodal	multimodal	500	3	top_two_quintiles	4808	0.7713	0.7611
multimodal	multimodal	500	4	all	9298	0.8325	0.7947
multimodal	multimodal	500	4	quintile1	1860	0.3253	0.3142
multimodal	multimodal	500	4	quintile2	1859	0.1579	0.1583
multimodal	multimodal	500	4	quintile3	1860	0.2028	0.1923
multimodal	multimodal	500	4	quintile4	1859	0.3516	0.3422
multimodal	multimodal	500	4	quintile5	1860	0.6163	0.6083
multimodal	multimodal	500	4	top_quintile	1860	0.6163	0.6083
multimodal	multimodal	500	4	top_two_quintiles	3719	0.7532	0.7331
