fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	real_dnase	10800	2175	0.8758	0.6551	0.5131	0.0712	0.1087	0.0473	0.5579	0.1317
0	dnase_smooth250	10800	2175	0.876	0.6576	0.5098	0.0716	0.1119	0.0472	0.5578	0.1306
0	converted_pow	10800	2175	0.8116	0.5502	0.1082	-0.0371	-0.0178	0.0469	0.558	0.1304
0	atac_input	10800	2175	0.8341	0.5661		0.0	0.0	0.0481	0.5576	0.1336
1	real_dnase	14362	2898	0.8816	0.6452	0.5285	0.0773	0.1003	0.0557	0.5637	0.1485
1	dnase_smooth250	14362	2898	0.8816	0.6456	0.5298	0.0774	0.1008	0.0561	0.5637	0.1494
1	converted_pow	14362	2898	0.8159	0.5489	0.1196	-0.0343	-0.0147	0.0555	0.5641	0.1486
1	atac_input	14362	2898	0.8366	0.5621		0.0	0.0	0.0568	0.5636	0.1516
2	real_dnase	10491	2110	0.869	0.6619	0.5391	0.0896	0.0941	0.0499	0.5596	0.1368
2	dnase_smooth250	10491	2110	0.8704	0.6672	0.5438	0.0919	0.1011	0.05	0.5598	0.1367
2	converted_pow	10491	2110	0.7968	0.5707	0.1381	-0.0308	-0.0184	0.0491	0.5599	0.1347
2	atac_input	10491	2110	0.8159	0.5866		0.0	0.0	0.0503	0.5596	0.138
3	real_dnase	11028	2216	0.875	0.6761	0.5178	0.0746	0.1162	0.0517	0.5652	0.1392
3	dnase_smooth250	11028	2216	0.8752	0.6646	0.5165	0.0749	0.1007	0.052	0.5651	0.1398
3	converted_pow	11028	2216	0.8041	0.5599	0.1119	-0.0444	-0.0275	0.0509	0.5654	0.1377
3	atac_input	11028	2216	0.8313	0.5839		0.0	0.0	0.0525	0.5649	0.1409
4	real_dnase	10463	2113	0.8637	0.6769	0.5157	0.0856	0.1033	0.0473	0.5619	0.1284
4	dnase_smooth250	10463	2113	0.8638	0.6746	0.514	0.0857	0.1002	0.0471	0.5618	0.128
4	converted_pow	10463	2113	0.7826	0.5616	0.0572	-0.0479	-0.0396	0.0467	0.5618	0.1272
4	atac_input	10463	2113	0.8126	0.5958		0.0	0.0	0.0483	0.5617	0.1303
