fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	real_dnase	10143	2052	0.6764	0.4768	0.182	-0.253	-0.1485	0.034	0.6032	0.095
0	dnase_smooth250	10143	2052	0.647	0.3497	0.1437	-0.2919	-0.2536	0.0313	0.6039	0.0858
0	converted_pow	10143	2052	0.7691	0.5303	0.1733	-0.119	-0.0947	0.0377	0.6021	0.1095
0	atac_input	10143	2052	0.8429	0.6131		0.0	0.0	0.0436	0.6023	0.1205
1	real_dnase	14392	2882	0.683	0.4431	0.2102	-0.2336	-0.1179	0.0384	0.6026	0.1097
1	dnase_smooth250	14392	2882	0.6356	0.2501	0.1734	-0.296	-0.2517	0.0341	0.6042	0.0918
1	converted_pow	14392	2882	0.749	0.4787	0.1674	-0.139	-0.085	0.0431	0.6012	0.1242
1	atac_input	14392	2882	0.8367	0.5605		0.0	0.0	0.0499	0.6014	0.1402
2	real_dnase	12801	2572	0.6684	0.4858	0.3312	-0.1777	-0.1296	0.0325	0.6141	0.0834
2	dnase_smooth250	12801	2572	0.6123	0.2373	0.2665	-0.2495	-0.3093	0.0289	0.6154	0.0705
2	converted_pow	12801	2572	0.6945	0.533	0.115	-0.1421	-0.0815	0.0354	0.6129	0.0981
2	atac_input	12801	2572	0.7902	0.6046		0.0	0.0	0.0431	0.6123	0.1186
3	real_dnase	12021	2406	0.6968	0.4593	0.265	-0.2298	-0.1819	0.0331	0.6154	0.091
3	dnase_smooth250	12021	2406	0.6421	0.2124	0.2016	-0.3031	-0.3478	0.0294	0.6165	0.0778
3	converted_pow	12021	2406	0.7304	0.4089	0.1349	-0.1819	-0.2257	0.038	0.6137	0.1092
3	atac_input	12021	2406	0.8458	0.6268		0.0	0.0	0.0473	0.6129	0.1341
4	real_dnase	9298	1875	0.7061	0.5038	0.204	-0.2068	-0.14	0.0297	0.6024	0.0814
4	dnase_smooth250	9298	1875	0.6956	0.4976	0.1716	-0.2215	-0.1462	0.0302	0.6023	0.0807
4	converted_pow	9298	1875	0.7208	0.4687	0.1087	-0.1858	-0.1742	0.0348	0.6009	0.0985
4	atac_input	9298	1875	0.8398	0.6276		0.0	0.0	0.0419	0.6007	0.1176
