fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	real_dnase	10800	2175	0.7637	0.5862	0.3277	-0.0451	0.0941	0.0252	0.5609	0.068
0	dnase_smooth250	10800	2175	0.715	0.5364	0.2599	-0.1172	0.0381	0.0253	0.5609	0.0683
0	converted_pow	10800	2175	0.6662	0.4613	0.1195	-0.1846	-0.0367	0.0255	0.5609	0.0671
0	atac_input	10800	2175	0.7927	0.4996		0.0	0.0	0.0358	0.5585	0.1013
1	real_dnase	14362	2898	0.7725	0.573	0.3496	-0.0506	0.0373	0.0301	0.5677	0.0782
1	dnase_smooth250	14362	2898	0.7113	0.5029	0.2845	-0.1415	-0.0381	0.0303	0.5678	0.0787
1	converted_pow	14362	2898	0.6721	0.4615	0.1718	-0.1958	-0.078	0.0311	0.5677	0.0801
1	atac_input	14362	2898	0.8046	0.5394		0.0	0.0	0.0431	0.5646	0.1178
2	real_dnase	10491	2110	0.74	0.5532	0.302	-0.0555	0.0112	0.0265	0.5632	0.069
2	dnase_smooth250	10491	2110	0.7015	0.4884	0.251	-0.111	-0.0562	0.0265	0.5633	0.0686
2	converted_pow	10491	2110	0.6228	0.4386	0.0878	-0.2153	-0.1025	0.0269	0.5633	0.0687
2	atac_input	10491	2110	0.7766	0.543		0.0	0.0	0.0382	0.5606	0.1064
3	real_dnase	11028	2216	0.7575	0.5631	0.3519	-0.0455	0.06	0.0273	0.5687	0.0698
3	dnase_smooth250	11028	2216	0.7029	0.4902	0.2861	-0.1253	-0.0168	0.0263	0.5689	0.0659
3	converted_pow	11028	2216	0.6943	0.4906	0.1802	-0.1373	-0.0164	0.0284	0.5686	0.0719
3	atac_input	11028	2216	0.787	0.507		0.0	0.0	0.039	0.5663	0.106
4	real_dnase	10463	2113	0.7419	0.576	0.3588	-0.0396	0.0344	0.0245	0.565	0.0647
4	dnase_smooth250	10463	2113	0.6928	0.4948	0.3009	-0.11	-0.0525	0.0246	0.565	0.0645
4	converted_pow	10463	2113	0.6654	0.4928	0.1764	-0.1473	-0.0545	0.0257	0.5649	0.0668
4	atac_input	10463	2113	0.7681	0.5453		0.0	0.0	0.0358	0.5627	0.0984
