fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	real_dnase	10143	2052	0.8915	0.7148	0.3994	0.013	0.0351	0.0606	0.5982	0.1615
0	dnase_smooth250	10143	2052	0.8841	0.6877	0.3496	-0.0001	-0.0029	0.0604	0.5984	0.1608
0	converted_pow	10143	2052	0.8681	0.6682	0.1073	-0.0282	-0.0295	0.0603	0.5983	0.1614
0	atac_input	10143	2052	0.8842	0.6898		0.0	0.0	0.0607	0.5983	0.1618
1	real_dnase	14392	2882	0.9	0.7056	0.4509	0.0309	0.0305	0.0682	0.5967	0.1854
1	dnase_smooth250	14392	2882	0.8944	0.7043	0.4258	0.0207	0.0287	0.0679	0.5968	0.1849
1	converted_pow	14392	2882	0.8705	0.6693	0.1473	-0.0214	-0.0193	0.0678	0.5969	0.1848
1	atac_input	14392	2882	0.8827	0.6836		0.0	0.0	0.0684	0.5968	0.186
2	real_dnase	12801	2572	0.8839	0.7356	0.5204	0.0632	0.065	0.064	0.6078	0.1685
2	dnase_smooth250	12801	2572	0.8644	0.6871	0.458	0.029	-0.0039	0.0632	0.6079	0.1657
2	converted_pow	12801	2572	0.8347	0.6808	0.1323	-0.0213	-0.0125	0.0621	0.6083	0.1654
2	atac_input	12801	2572	0.8474	0.6899		0.0	0.0	0.0627	0.608	0.1666
3	real_dnase	12021	2406	0.9005	0.7484	0.4634	0.0282	0.0733	0.0667	0.6085	0.1803
3	dnase_smooth250	12021	2406	0.8927	0.7309	0.4303	0.0142	0.0474	0.0662	0.6088	0.1783
3	converted_pow	12021	2406	0.8758	0.6963	0.1595	-0.0156	-0.002	0.0661	0.6088	0.1788
3	atac_input	12021	2406	0.8847	0.6977		0.0	0.0	0.0663	0.6089	0.1799
4	real_dnase	9298	1875	0.8948	0.7345	0.4478	0.0286	0.0661	0.0603	0.5964	0.164
4	dnase_smooth250	9298	1875	0.8858	0.7096	0.401	0.0126	0.0301	0.0608	0.5964	0.1648
4	converted_pow	9298	1875	0.8663	0.6822	0.15	-0.0215	-0.0079	0.0598	0.5965	0.1627
4	atac_input	9298	1875	0.8787	0.688		0.0	0.0	0.06	0.5966	0.163
