fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	real_dnase	10143	2052	0.8915	0.7148	0.3994	0.013	0.0351	0.0606	0.5982	0.1615
0	converted_dnase	10143	2052	0.869	0.6744	0.1232	-0.0267	-0.021	0.0604	0.5984	0.1616
0	dnase_smooth250	10143	2052	0.8841	0.6877	0.3496	-0.0001	-0.0029	0.0604	0.5984	0.1608
0	atac_input	10143	2052	0.8842	0.6898		0.0	0.0	0.0607	0.5983	0.1618
1	real_dnase	14392	2882	0.9	0.7056	0.4509	0.0309	0.0305	0.0682	0.5967	0.1854
1	converted_dnase	14392	2882	0.8714	0.6664	0.1322	-0.0198	-0.0233	0.0682	0.597	0.1863
1	dnase_smooth250	14392	2882	0.8944	0.7043	0.4258	0.0207	0.0287	0.0679	0.5968	0.1849
1	atac_input	14392	2882	0.8827	0.6836		0.0	0.0	0.0684	0.5968	0.186
2	real_dnase	12801	2572	0.8839	0.7356	0.5204	0.0632	0.065	0.064	0.6078	0.1685
2	converted_dnase	12801	2572	0.8371	0.6817	0.1375	-0.0174	-0.0113	0.0621	0.6082	0.1648
2	dnase_smooth250	12801	2572	0.8644	0.6871	0.458	0.029	-0.0039	0.0632	0.6079	0.1657
2	atac_input	12801	2572	0.8474	0.6899		0.0	0.0	0.0627	0.608	0.1666
3	real_dnase	12021	2406	0.9005	0.7484	0.4634	0.0282	0.0733	0.0667	0.6085	0.1803
3	converted_dnase	12021	2406	0.8774	0.6928	0.1571	-0.0129	-0.0068	0.0663	0.6087	0.1802
3	dnase_smooth250	12021	2406	0.8927	0.7309	0.4303	0.0142	0.0474	0.0662	0.6088	0.1783
3	atac_input	12021	2406	0.8847	0.6977		0.0	0.0	0.0663	0.6089	0.1799
4	real_dnase	9298	1875	0.8948	0.7345	0.4478	0.0286	0.0661	0.0603	0.5964	0.164
4	converted_dnase	9298	1875	0.8667	0.6844	0.1154	-0.021	-0.005	0.0599	0.5967	0.1633
4	dnase_smooth250	9298	1875	0.8858	0.7096	0.401	0.0126	0.0301	0.0608	0.5964	0.1648
4	atac_input	9298	1875	0.8787	0.688		0.0	0.0	0.06	0.5966	0.163
