config	mode	half_window	n_folds	stratum	n	pearson	spearman
seq	sequence	500	5	all	57144	0.358	0.298
seq	sequence	500	5	quintile1	11429	0.023	0.0289
seq	sequence	500	5	quintile2	11429	0.0102	0.0105
seq	sequence	500	5	quintile3	11428	0.0269	0.0256
seq	sequence	500	5	quintile4	11429	0.1495	0.1278
seq	sequence	500	5	quintile5	11429	0.1479	0.1517
seq	sequence	500	5	top_quintile	11429	0.1479	0.1517
seq	sequence	500	5	top_two_quintiles	22858	0.3206	0.3003
atac	atac	500	5	all	57144	0.7646	0.7328
atac	atac	500	5	quintile1	11429	0.1265	0.1287
atac	atac	500	5	quintile2	11429	0.1243	0.1302
atac	atac	500	5	quintile3	11428	0.1643	0.1716
atac	atac	500	5	quintile4	11429	0.3221	0.322
atac	atac	500	5	quintile5	11429	0.4772	0.4953
atac	atac	500	5	top_quintile	11429	0.4772	0.4953
atac	atac	500	5	top_two_quintiles	22858	0.6563	0.6649
multimodal	multimodal	500	5	all	57144	0.7866	0.7595
multimodal	multimodal	500	5	quintile1	11429	0.1962	0.2031
multimodal	multimodal	500	5	quintile2	11429	0.1481	0.1569
multimodal	multimodal	500	5	quintile3	11428	0.1747	0.1805
multimodal	multimodal	500	5	quintile4	11429	0.3142	0.3171
multimodal	multimodal	500	5	quintile5	11429	0.5223	0.5351
multimodal	multimodal	500	5	top_quintile	11429	0.5223	0.5351
multimodal	multimodal	500	5	top_two_quintiles	22858	0.6752	0.6797
