config	mode	half_window	stratum	n_folds	pearson_mean	pearson_sd	ci95_half_width	ci95_lo	ci95_hi
seq	sequence	500	all	5	0.3536	0.0305	0.0379	0.3157	0.3915
seq	sequence	500	quintile1	5	0.0223	0.0449	0.0557	-0.0334	0.0781
seq	sequence	500	quintile2	5	0.0093	0.0193	0.0239	-0.0147	0.0332
seq	sequence	500	quintile3	5	0.0265	0.0332	0.0413	-0.0148	0.0677
seq	sequence	500	quintile4	5	0.1447	0.0237	0.0294	0.1153	0.1741
seq	sequence	500	quintile5	5	0.1461	0.0239	0.0296	0.1164	0.1757
seq	sequence	500	top_quintile	5	0.1461	0.0239	0.0296	0.1164	0.1757
seq	sequence	500	top_two_quintiles	5	0.3167	0.023	0.0286	0.2881	0.3452
atac	atac	500	all	5	0.764	0.0135	0.0167	0.7473	0.7807
atac	atac	500	quintile1	5	0.1254	0.0157	0.0195	0.1059	0.1449
atac	atac	500	quintile2	5	0.1112	0.0173	0.0215	0.0898	0.1327
atac	atac	500	quintile3	5	0.1601	0.0065	0.0081	0.152	0.1681
atac	atac	500	quintile4	5	0.3181	0.024	0.0298	0.2882	0.3479
atac	atac	500	quintile5	5	0.4757	0.0243	0.0302	0.4456	0.5059
atac	atac	500	top_quintile	5	0.4757	0.0243	0.0302	0.4456	0.5059
atac	atac	500	top_two_quintiles	5	0.656	0.0093	0.0116	0.6444	0.6675
multimodal	multimodal	500	all	5	0.7849	0.0124	0.0154	0.7695	0.8002
multimodal	multimodal	500	quintile1	5	0.1937	0.0222	0.0275	0.1662	0.2212
multimodal	multimodal	500	quintile2	5	0.1348	0.0164	0.0204	0.1144	0.1551
multimodal	multimodal	500	quintile3	5	0.1691	0.0114	0.0142	0.1549	0.1833
multimodal	multimodal	500	quintile4	5	0.311	0.0174	0.0216	0.2894	0.3326
multimodal	multimodal	500	quintile5	5	0.5193	0.0288	0.0358	0.4835	0.5551
multimodal	multimodal	500	top_quintile	5	0.5193	0.0288	0.0358	0.4835	0.5551
multimodal	multimodal	500	top_two_quintiles	5	0.6729	0.0111	0.0138	0.6591	0.6868
