config	mode	half_window	fold	stratum	n	pearson	spearman
seq	sequence	500	0	all	10800	0.3284	0.2623
seq	sequence	500	0	quintile1	2160	-0.0059	0.0008
seq	sequence	500	0	quintile2	2160	-0.0113	-0.0235
seq	sequence	500	0	quintile3	2160	0.0182	0.0063
seq	sequence	500	0	quintile4	2160	0.1204	0.0872
seq	sequence	500	0	quintile5	2160	0.107	0.106
seq	sequence	500	0	top_quintile	2160	0.107	0.106
seq	sequence	500	0	top_two_quintiles	4320	0.285	0.257
seq	sequence	500	1	all	14362	0.3979	0.3461
seq	sequence	500	1	quintile1	2873	0.0833	0.0855
seq	sequence	500	1	quintile2	2872	0.0244	0.0207
seq	sequence	500	1	quintile3	2872	0.0109	0.0073
seq	sequence	500	1	quintile4	2872	0.1674	0.1444
seq	sequence	500	1	quintile5	2873	0.1456	0.1372
seq	sequence	500	1	top_quintile	2873	0.1456	0.1372
seq	sequence	500	1	top_two_quintiles	5745	0.3212	0.2992
seq	sequence	500	2	all	10491	0.3669	0.3084
seq	sequence	500	2	quintile1	2099	-0.0145	-0.0043
seq	sequence	500	2	quintile2	2098	0.0085	0.0111
seq	sequence	500	2	quintile3	2098	0.0844	0.0686
seq	sequence	500	2	quintile4	2098	0.1607	0.1427
seq	sequence	500	2	quintile5	2098	0.1713	0.1832
seq	sequence	500	2	top_quintile	2098	0.1713	0.1832
seq	sequence	500	2	top_two_quintiles	4196	0.349	0.3394
seq	sequence	500	3	all	11028	0.352	0.2926
seq	sequence	500	3	quintile1	2206	-0.0087	0.004
seq	sequence	500	3	quintile2	2205	-0.0078	-0.0039
seq	sequence	500	3	quintile3	2206	0.0002	0.0038
seq	sequence	500	3	quintile4	2205	0.1573	0.1236
seq	sequence	500	3	quintile5	2206	0.1557	0.1659
seq	sequence	500	3	top_quintile	2206	0.1557	0.1659
seq	sequence	500	3	top_two_quintiles	4411	0.3183	0.2988
seq	sequence	500	4	all	10463	0.3227	0.2619
seq	sequence	500	4	quintile1	2093	0.0574	0.0579
seq	sequence	500	4	quintile2	2092	0.0325	0.0336
seq	sequence	500	4	quintile3	2093	0.0186	0.0305
seq	sequence	500	4	quintile4	2092	0.1177	0.0962
seq	sequence	500	4	quintile5	2093	0.1507	0.1578
seq	sequence	500	4	top_quintile	2093	0.1507	0.1578
seq	sequence	500	4	top_two_quintiles	4185	0.3098	0.287
atac	atac	500	0	all	10800	0.7725	0.738
atac	atac	500	0	quintile1	2160	0.1367	0.133
atac	atac	500	0	quintile2	2160	0.1148	0.118
atac	atac	500	0	quintile3	2160	0.154	0.1631
atac	atac	500	0	quintile4	2160	0.3207	0.3233
atac	atac	500	0	quintile5	2160	0.438	0.4516
atac	atac	500	0	top_quintile	2160	0.438	0.4516
atac	atac	500	0	top_two_quintiles	4320	0.6492	0.6574
atac	atac	500	1	all	14362	0.7683	0.7423
atac	atac	500	1	quintile1	2873	0.114	0.1116
atac	atac	500	1	quintile2	2872	0.134	0.155
atac	atac	500	1	quintile3	2872	0.1578	0.1655
atac	atac	500	1	quintile4	2872	0.3274	0.3273
atac	atac	500	1	quintile5	2873	0.4679	0.4853
atac	atac	500	1	top_quintile	2873	0.4679	0.4853
atac	atac	500	1	top_two_quintiles	5745	0.6471	0.6622
atac	atac	500	2	all	10491	0.7539	0.7197
atac	atac	500	2	quintile1	2099	0.1043	0.1092
atac	atac	500	2	quintile2	2098	0.0963	0.1146
atac	atac	500	2	quintile3	2098	0.1665	0.1748
atac	atac	500	2	quintile4	2098	0.2833	0.2836
atac	atac	500	2	quintile5	2098	0.4865	0.5018
atac	atac	500	2	top_quintile	2098	0.4865	0.5018
atac	atac	500	2	top_two_quintiles	4196	0.6559	0.6599
atac	atac	500	3	all	11028	0.7789	0.7495
atac	atac	500	3	quintile1	2206	0.1309	0.1436
atac	atac	500	3	quintile2	2205	0.1193	0.115
atac	atac	500	3	quintile3	2206	0.1675	0.1731
atac	atac	500	3	quintile4	2205	0.3488	0.3484
atac	atac	500	3	quintile5	2206	0.4844	0.503
atac	atac	500	3	top_quintile	2206	0.4844	0.503
atac	atac	500	3	top_two_quintiles	4411	0.6709	0.6811
atac	atac	500	4	all	10463	0.7464	0.7107
atac	atac	500	4	quintile1	2093	0.1413	0.1548
atac	atac	500	4	quintile2	2092	0.0918	0.0982
atac	atac	500	4	quintile3	2093	0.1545	0.1613
atac	atac	500	4	quintile4	2092	0.3102	0.3056
atac	atac	500	4	quintile5	2093	0.5019	0.5186
atac	atac	500	4	top_quintile	2093	0.5019	0.5186
atac	atac	500	4	top_two_quintiles	4185	0.6567	0.6599
multimodal	multimodal	500	0	all	10800	0.7866	0.7601
multimodal	multimodal	500	0	quintile1	2160	0.2159	0.2201
multimodal	multimodal	500	0	quintile2	2160	0.1427	0.1504
multimodal	multimodal	500	0	quintile3	2160	0.1601	0.1626
multimodal	multimodal	500	0	quintile4	2160	0.3051	0.3089
multimodal	multimodal	500	0	quintile5	2160	0.4712	0.486
multimodal	multimodal	500	0	top_quintile	2160	0.4712	0.486
multimodal	multimodal	500	0	top_two_quintiles	4320	0.6546	0.6622
multimodal	multimodal	500	1	all	14362	0.8019	0.7782
multimodal	multimodal	500	1	quintile1	2873	0.1882	0.1946
multimodal	multimodal	500	1	quintile2	2872	0.1593	0.1759
multimodal	multimodal	500	1	quintile3	2872	0.1652	0.1765
multimodal	multimodal	500	1	quintile4	2872	0.3194	0.3222
multimodal	multimodal	500	1	quintile5	2873	0.5335	0.5464
multimodal	multimodal	500	1	top_quintile	2873	0.5335	0.5464
multimodal	multimodal	500	1	top_two_quintiles	5745	0.683	0.6907
multimodal	multimodal	500	2	all	10491	0.7757	0.7474
multimodal	multimodal	500	2	quintile1	2099	0.1617	0.177
multimodal	multimodal	500	2	quintile2	2098	0.1303	0.1444
multimodal	multimodal	500	2	quintile3	2098	0.1706	0.1787
multimodal	multimodal	500	2	quintile4	2098	0.2833	0.282
multimodal	multimodal	500	2	quintile5	2098	0.5348	0.5466
multimodal	multimodal	500	2	top_quintile	2098	0.5348	0.5466
multimodal	multimodal	500	2	top_two_quintiles	4196	0.6714	0.6721
multimodal	multimodal	500	3	all	11028	0.7898	0.7641
multimodal	multimodal	500	3	quintile1	2206	0.1892	0.2077
multimodal	multimodal	500	3	quintile2	2205	0.1202	0.1248
multimodal	multimodal	500	3	quintile3	2206	0.1882	0.1961
multimodal	multimodal	500	3	quintile4	2205	0.3269	0.336
multimodal	multimodal	500	3	quintile5	2206	0.5143	0.521
multimodal	multimodal	500	3	top_quintile	2206	0.5143	0.521
multimodal	multimodal	500	3	top_two_quintiles	4411	0.6758	0.6824
multimodal	multimodal	500	4	all	10463	0.7703	0.7385
multimodal	multimodal	500	4	quintile1	2093	0.2136	0.2082
multimodal	multimodal	500	4	quintile2	2092	0.1213	0.1205
multimodal	multimodal	500	4	quintile3	2093	0.1613	0.169
multimodal	multimodal	500	4	quintile4	2092	0.3204	0.3205
multimodal	multimodal	500	4	quintile5	2093	0.5427	0.5582
multimodal	multimodal	500	4	top_quintile	2093	0.5427	0.5582
multimodal	multimodal	500	4	top_two_quintiles	4185	0.6799	0.6828
