fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	dnase_profile_head	10143	2052	0.8856	0.6994	0.2182	0.0026	0.0133	0.0038	0.6142	-0.0015
0	epoch_matched_baseline	10143	2052	0.8843	0.6868	0.1718	0.0001	-0.0042	0.061	0.5983	0.1627
0	atac_input	10143	2052	0.8842	0.6898		0.0	0.0	0.0607	0.5983	0.1618
1	dnase_profile_head	14392	2882	0.8844	0.6815	0.2097	0.0029	-0.0029	0.0029	0.6164	-0.0062
1	epoch_matched_baseline	14392	2882	0.8836	0.6932	0.1809	0.0016	0.0132	0.0683	0.5968	0.1853
1	atac_input	14392	2882	0.8827	0.6836		0.0	0.0	0.0684	0.5968	0.186
2	dnase_profile_head	12801	2572	0.8513	0.7013	0.2076	0.0065	0.0158	0.0054	0.6238	0.002
2	epoch_matched_baseline	12801	2572	0.8466	0.6858	0.1289	-0.0014	-0.0056	0.0627	0.6081	0.1665
2	atac_input	12801	2572	0.8474	0.6899		0.0	0.0	0.0627	0.608	0.1666
3	dnase_profile_head	12021	2406	0.8875	0.7136	0.2064	0.0051	0.0224	0.0052	0.626	-0.0005
3	epoch_matched_baseline	12021	2406	0.8851	0.7111	0.1551	0.0007	0.0189	0.0666	0.6087	0.1799
3	atac_input	12021	2406	0.8847	0.6977		0.0	0.0	0.0663	0.6089	0.1799
4	dnase_profile_head	9298	1875	0.8819	0.7077	0.222	0.0057	0.0275	0.0045	0.6118	0.0025
4	epoch_matched_baseline	9298	1875	0.8783	0.6886	0.1557	-0.0008	0.0008	0.0601	0.5965	0.164
4	atac_input	9298	1875	0.8787	0.688		0.0	0.0	0.06	0.5966	0.163
