fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	K562_incell	1878	376	0.679	0.5208	0.5536	0.2423	0.1493	0.2715	0.4945	0.4658
0	GM_single_corrupted	1878	376	0.475	0.3321	0.049	0.0069	-0.0116	0.206	0.529	0.3436
0	GM_single_corrected	1878	376	0.4904	0.34	0.1496	0.0217	-0.0063	0.221	0.5221	0.3715
0	GM_single_corrected_tgtnorm	1878	376	0.5039	0.3521	0.1856	0.0351	0.0021	0.2224	0.5202	0.3738
0	multicell_holdK562	1878	376	0.5701	0.4097	0.4066	0.1063	0.0459	0.2359	0.516	0.3999
0	K562_atac_only_floor	1878	376	0.4677	0.3491		0.0	0.0	0.2218	0.515	0.386
1	K562_incell	2686	538	0.6728	0.4132	0.5768	0.2367	0.1074	0.268	0.4947	0.4468
1	GM_single_corrupted	2686	538	0.471	0.2091	0.1826	0.0059	-0.0196	0.1958	0.5288	0.3272
1	GM_single_corrected	2686	538	0.4958	0.2313	0.1729	0.0299	-0.0098	0.2163	0.52	0.3544
1	GM_single_corrected_tgtnorm	2686	538	0.502	0.2371	0.1912	0.0361	-0.0071	0.2176	0.5186	0.3563
1	multicell_holdK562	2686	538	0.538	0.2739	0.3433	0.0735	0.0117	0.2312	0.5159	0.3812
1	K562_atac_only_floor	2686	538	0.4647	0.2516		0.0	0.0	0.2177	0.5144	0.3645
2	K562_incell	2308	462	0.7131	0.5081	0.6244	0.2933	0.2334	0.2581	0.4935	0.4322
2	GM_single_corrupted	2308	462	0.5192	0.1725	0.1877	0.0544	0.005	0.195	0.523	0.3257
2	GM_single_corrected	2308	462	0.5375	0.2108	0.3117	0.0737	0.0197	0.2098	0.5178	0.3494
2	GM_single_corrected_tgtnorm	2308	462	0.5508	0.2335	0.3336	0.0883	0.0297	0.2099	0.5166	0.3487
2	multicell_holdK562	2308	462	0.5785	0.2765	0.3867	0.1195	0.0517	0.2267	0.5114	0.3771
2	K562_atac_only_floor	2308	462	0.4639	0.1574		0.0	0.0	0.209	0.5137	0.3507
3	K562_incell	2756	552	0.6945	0.4829	0.584	0.2535	0.184	0.2626	0.4911	0.454
3	GM_single_corrupted	2756	552	0.5123	0.1519	0.1875	0.0336	-0.0261	0.1967	0.519	0.3343
3	GM_single_corrected	2756	552	0.5278	0.1657	0.2622	0.0498	-0.0218	0.2097	0.5144	0.3577
3	GM_single_corrected_tgtnorm	2756	552	0.5424	0.1807	0.2853	0.0654	-0.0166	0.2101	0.5131	0.3585
3	multicell_holdK562	2756	552	0.5655	0.2372	0.3332	0.091	0.007	0.23	0.5066	0.3943
3	K562_atac_only_floor	2756	552	0.4783	0.2218		0.0	0.0	0.2142	0.5074	0.376
4	K562_incell	1784	357	0.6944	0.4844	0.542	0.2142	0.1459	0.275	0.489	0.4683
4	GM_single_corrupted	1784	357	0.5189	0.2934	0.067	0.0013	-0.0027	0.2092	0.5227	0.3485
4	GM_single_corrected	1784	357	0.5391	0.3189	0.1415	0.0226	0.013	0.225	0.5151	0.3758
4	GM_single_corrected_tgtnorm	1784	357	0.552	0.3272	0.1931	0.0367	0.0184	0.2255	0.5138	0.3767
4	multicell_holdK562	1784	357	0.6171	0.3874	0.4139	0.1128	0.0613	0.2432	0.5106	0.4104
4	K562_atac_only_floor	1784	357	0.5177	0.2979		0.0	0.0	0.2243	0.5096	0.3783
