config	mode	half_window	n_folds	stratum	n	pearson	spearman
p300_multimodal_atac_hw500	multimodal	500	5	all	58655	0.791	0.7938
p300_multimodal_atac_hw500	multimodal	500	5	quintile1	11731	0.4755	0.4169
p300_multimodal_atac_hw500	multimodal	500	5	quintile2	11731	0.2145	0.2149
p300_multimodal_atac_hw500	multimodal	500	5	quintile3	11731	0.2163	0.2208
p300_multimodal_atac_hw500	multimodal	500	5	quintile4	11731	0.2504	0.2582
p300_multimodal_atac_hw500	multimodal	500	5	quintile5	11731	0.6058	0.5683
p300_multimodal_atac_hw500	multimodal	500	5	top_quintile	11731	0.6058	0.5683
p300_multimodal_atac_hw500	multimodal	500	5	top_two_quintiles	23462	0.6529	0.6266
p300_atac_only_hw500	atac	500	5	all	58655	0.6009	0.6347
p300_atac_only_hw500	atac	500	5	quintile1	11731	0.3433	0.2421
p300_atac_only_hw500	atac	500	5	quintile2	11731	0.1099	0.1106
p300_atac_only_hw500	atac	500	5	quintile3	11731	0.1454	0.1524
p300_atac_only_hw500	atac	500	5	quintile4	11731	0.1836	0.1949
p300_atac_only_hw500	atac	500	5	quintile5	11731	0.3054	0.3093
p300_atac_only_hw500	atac	500	5	top_quintile	11731	0.3054	0.3093
p300_atac_only_hw500	atac	500	5	top_two_quintiles	23462	0.3823	0.4229
h3k27ac_multimodal_hw500	multimodal	500	5	all	58655	0.8094	0.8357
h3k27ac_multimodal_hw500	multimodal	500	5	quintile1	11731	0.3572	0.3452
h3k27ac_multimodal_hw500	multimodal	500	5	quintile2	11731	0.1847	0.1914
h3k27ac_multimodal_hw500	multimodal	500	5	quintile3	11731	0.2174	0.2266
h3k27ac_multimodal_hw500	multimodal	500	5	quintile4	11731	0.3712	0.3784
h3k27ac_multimodal_hw500	multimodal	500	5	quintile5	11731	0.6683	0.6714
h3k27ac_multimodal_hw500	multimodal	500	5	top_quintile	11731	0.6683	0.6714
h3k27ac_multimodal_hw500	multimodal	500	5	top_two_quintiles	23462	0.7823	0.7713
h3k27ac_atac_only_hw500	atac	500	5	all	58655	0.7459	0.7685
h3k27ac_atac_only_hw500	atac	500	5	quintile1	11731	0.2281	0.2241
h3k27ac_atac_only_hw500	atac	500	5	quintile2	11731	0.1393	0.1433
h3k27ac_atac_only_hw500	atac	500	5	quintile3	11731	0.1706	0.1828
h3k27ac_atac_only_hw500	atac	500	5	quintile4	11731	0.3371	0.3433
h3k27ac_atac_only_hw500	atac	500	5	quintile5	11731	0.5433	0.5575
h3k27ac_atac_only_hw500	atac	500	5	top_quintile	11731	0.5433	0.5575
h3k27ac_atac_only_hw500	atac	500	5	top_two_quintiles	23462	0.7194	0.7222
h3k27ac_sequence_hw500	sequence	500	5	all	58655	0.4103	0.3854
h3k27ac_sequence_hw500	sequence	500	5	quintile1	11731	0.0681	0.0975
h3k27ac_sequence_hw500	sequence	500	5	quintile2	11731	0.0473	0.05
h3k27ac_sequence_hw500	sequence	500	5	quintile3	11731	0.0497	0.0543
h3k27ac_sequence_hw500	sequence	500	5	quintile4	11731	0.0764	0.0709
h3k27ac_sequence_hw500	sequence	500	5	quintile5	11731	0.3567	0.3422
h3k27ac_sequence_hw500	sequence	500	5	top_quintile	11731	0.3567	0.3422
h3k27ac_sequence_hw500	sequence	500	5	top_two_quintiles	23462	0.4333	0.3846
