config	mode	half_window	stratum	n_folds	pearson_mean	pearson_sd	ci95_half_width	ci95_lo	ci95_hi
p300_multimodal_atac_hw500	multimodal	500	all	5	0.7905	0.0181	0.0224	0.7681	0.813
p300_multimodal_atac_hw500	multimodal	500	quintile1	5	0.4665	0.0842	0.1045	0.3619	0.571
p300_multimodal_atac_hw500	multimodal	500	quintile2	5	0.1964	0.032	0.0398	0.1566	0.2362
p300_multimodal_atac_hw500	multimodal	500	quintile3	5	0.2014	0.0159	0.0197	0.1817	0.221
p300_multimodal_atac_hw500	multimodal	500	quintile4	5	0.2424	0.0191	0.0237	0.2187	0.2661
p300_multimodal_atac_hw500	multimodal	500	quintile5	5	0.6081	0.0342	0.0425	0.5657	0.6506
p300_multimodal_atac_hw500	multimodal	500	top_quintile	5	0.6081	0.0342	0.0425	0.5657	0.6506
p300_multimodal_atac_hw500	multimodal	500	top_two_quintiles	5	0.652	0.023	0.0285	0.6235	0.6805
p300_atac_only_hw500	atac	500	all	5	0.6008	0.0208	0.0259	0.5749	0.6267
p300_atac_only_hw500	atac	500	quintile1	5	0.3305	0.1079	0.134	0.1966	0.4645
p300_atac_only_hw500	atac	500	quintile2	5	0.1055	0.0317	0.0393	0.0661	0.1448
p300_atac_only_hw500	atac	500	quintile3	5	0.1442	0.0148	0.0184	0.1258	0.1626
p300_atac_only_hw500	atac	500	quintile4	5	0.1766	0.0235	0.0292	0.1473	0.2058
p300_atac_only_hw500	atac	500	quintile5	5	0.3044	0.02	0.0248	0.2796	0.3292
p300_atac_only_hw500	atac	500	top_quintile	5	0.3044	0.02	0.0248	0.2796	0.3292
p300_atac_only_hw500	atac	500	top_two_quintiles	5	0.3799	0.0198	0.0246	0.3553	0.4046
h3k27ac_multimodal_hw500	multimodal	500	all	5	0.8095	0.0167	0.0208	0.7887	0.8302
h3k27ac_multimodal_hw500	multimodal	500	quintile1	5	0.3527	0.0398	0.0494	0.3033	0.4022
h3k27ac_multimodal_hw500	multimodal	500	quintile2	5	0.1887	0.034	0.0422	0.1465	0.2309
h3k27ac_multimodal_hw500	multimodal	500	quintile3	5	0.2325	0.0194	0.0241	0.2084	0.2567
h3k27ac_multimodal_hw500	multimodal	500	quintile4	5	0.3807	0.0486	0.0604	0.3204	0.4411
h3k27ac_multimodal_hw500	multimodal	500	quintile5	5	0.6691	0.0122	0.0151	0.654	0.6842
h3k27ac_multimodal_hw500	multimodal	500	top_quintile	5	0.6691	0.0122	0.0151	0.654	0.6842
h3k27ac_multimodal_hw500	multimodal	500	top_two_quintiles	5	0.7869	0.0249	0.0309	0.756	0.8178
h3k27ac_atac_only_hw500	atac	500	all	5	0.7463	0.0174	0.0216	0.7247	0.7678
h3k27ac_atac_only_hw500	atac	500	quintile1	5	0.2219	0.0324	0.0402	0.1816	0.2621
h3k27ac_atac_only_hw500	atac	500	quintile2	5	0.1323	0.0349	0.0433	0.089	0.1755
h3k27ac_atac_only_hw500	atac	500	quintile3	5	0.17	0.0218	0.0271	0.1429	0.197
h3k27ac_atac_only_hw500	atac	500	quintile4	5	0.3391	0.0395	0.049	0.2901	0.3881
h3k27ac_atac_only_hw500	atac	500	quintile5	5	0.5421	0.0432	0.0536	0.4885	0.5958
h3k27ac_atac_only_hw500	atac	500	top_quintile	5	0.5421	0.0432	0.0536	0.4885	0.5958
h3k27ac_atac_only_hw500	atac	500	top_two_quintiles	5	0.7224	0.0188	0.0233	0.6991	0.7457
h3k27ac_sequence_hw500	sequence	500	all	5	0.4071	0.0272	0.0338	0.3733	0.4409
h3k27ac_sequence_hw500	sequence	500	quintile1	5	0.0629	0.0248	0.0308	0.032	0.0937
h3k27ac_sequence_hw500	sequence	500	quintile2	5	0.0373	0.0229	0.0284	0.0089	0.0657
h3k27ac_sequence_hw500	sequence	500	quintile3	5	0.0676	0.0158	0.0197	0.048	0.0873
h3k27ac_sequence_hw500	sequence	500	quintile4	5	0.0932	0.0224	0.0278	0.0655	0.121
h3k27ac_sequence_hw500	sequence	500	quintile5	5	0.3604	0.0391	0.0485	0.3119	0.409
h3k27ac_sequence_hw500	sequence	500	top_quintile	5	0.3604	0.0391	0.0485	0.3119	0.409
h3k27ac_sequence_hw500	sequence	500	top_two_quintiles	5	0.4398	0.0265	0.0329	0.4069	0.4727
