config	mode	half_window	fold	stratum	n	pearson	spearman
p300_multimodal_atac_hw500	multimodal	500	0	all	10143	0.8033	0.8012
p300_multimodal_atac_hw500	multimodal	500	0	quintile1	2029	0.5772	0.4741
p300_multimodal_atac_hw500	multimodal	500	0	quintile2	2028	0.1991	0.1987
p300_multimodal_atac_hw500	multimodal	500	0	quintile3	2029	0.2024	0.2087
p300_multimodal_atac_hw500	multimodal	500	0	quintile4	2028	0.2142	0.2287
p300_multimodal_atac_hw500	multimodal	500	0	quintile5	2029	0.5837	0.5313
p300_multimodal_atac_hw500	multimodal	500	0	top_quintile	2029	0.5837	0.5313
p300_multimodal_atac_hw500	multimodal	500	0	top_two_quintiles	4057	0.6312	0.6109
p300_multimodal_atac_hw500	multimodal	500	1	all	14392	0.8048	0.8096
p300_multimodal_atac_hw500	multimodal	500	1	quintile1	2879	0.4847	0.4373
p300_multimodal_atac_hw500	multimodal	500	1	quintile2	2878	0.2464	0.2423
p300_multimodal_atac_hw500	multimodal	500	1	quintile3	2878	0.203	0.2077
p300_multimodal_atac_hw500	multimodal	500	1	quintile4	2878	0.2508	0.2591
p300_multimodal_atac_hw500	multimodal	500	1	quintile5	2879	0.5662	0.5541
p300_multimodal_atac_hw500	multimodal	500	1	top_quintile	2879	0.5662	0.5541
p300_multimodal_atac_hw500	multimodal	500	1	top_two_quintiles	5757	0.6356	0.6245
p300_multimodal_atac_hw500	multimodal	500	2	all	12801	0.7751	0.7786
p300_multimodal_atac_hw500	multimodal	500	2	quintile1	2561	0.4037	0.369
p300_multimodal_atac_hw500	multimodal	500	2	quintile2	2560	0.1711	0.1848
p300_multimodal_atac_hw500	multimodal	500	2	quintile3	2560	0.2011	0.2068
p300_multimodal_atac_hw500	multimodal	500	2	quintile4	2560	0.249	0.2499
p300_multimodal_atac_hw500	multimodal	500	2	quintile5	2560	0.6535	0.6254
p300_multimodal_atac_hw500	multimodal	500	2	top_quintile	2560	0.6535	0.6254
p300_multimodal_atac_hw500	multimodal	500	2	top_two_quintiles	5120	0.6865	0.6402
p300_multimodal_atac_hw500	multimodal	500	3	all	12021	0.8025	0.8124
p300_multimodal_atac_hw500	multimodal	500	3	quintile1	2405	0.364	0.3515
p300_multimodal_atac_hw500	multimodal	500	3	quintile2	2404	0.1999	0.1986
p300_multimodal_atac_hw500	multimodal	500	3	quintile3	2404	0.2225	0.2328
p300_multimodal_atac_hw500	multimodal	500	3	quintile4	2404	0.2642	0.2784
p300_multimodal_atac_hw500	multimodal	500	3	quintile5	2404	0.6234	0.5739
p300_multimodal_atac_hw500	multimodal	500	3	top_quintile	2404	0.6234	0.5739
p300_multimodal_atac_hw500	multimodal	500	3	top_two_quintiles	4808	0.6636	0.6368
p300_multimodal_atac_hw500	multimodal	500	4	all	9298	0.7669	0.7617
p300_multimodal_atac_hw500	multimodal	500	4	quintile1	1860	0.5028	0.3909
p300_multimodal_atac_hw500	multimodal	500	4	quintile2	1859	0.1656	0.1444
p300_multimodal_atac_hw500	multimodal	500	4	quintile3	1860	0.1778	0.1771
p300_multimodal_atac_hw500	multimodal	500	4	quintile4	1859	0.2338	0.2385
p300_multimodal_atac_hw500	multimodal	500	4	quintile5	1860	0.6138	0.5561
p300_multimodal_atac_hw500	multimodal	500	4	top_quintile	1860	0.6138	0.5561
p300_multimodal_atac_hw500	multimodal	500	4	top_two_quintiles	3719	0.643	0.6081
p300_atac_only_hw500	atac	500	0	all	10143	0.6125	0.638
p300_atac_only_hw500	atac	500	0	quintile1	2029	0.4671	0.2818
p300_atac_only_hw500	atac	500	0	quintile2	2028	0.1116	0.118
p300_atac_only_hw500	atac	500	0	quintile3	2029	0.1462	0.1491
p300_atac_only_hw500	atac	500	0	quintile4	2028	0.137	0.154
p300_atac_only_hw500	atac	500	0	quintile5	2029	0.294	0.2715
p300_atac_only_hw500	atac	500	0	top_quintile	2029	0.294	0.2715
p300_atac_only_hw500	atac	500	0	top_two_quintiles	4057	0.3675	0.4027
p300_atac_only_hw500	atac	500	1	all	14392	0.6192	0.6539
p300_atac_only_hw500	atac	500	1	quintile1	2879	0.3841	0.2961
p300_atac_only_hw500	atac	500	1	quintile2	2878	0.1438	0.1482
p300_atac_only_hw500	atac	500	1	quintile3	2878	0.1356	0.1316
p300_atac_only_hw500	atac	500	1	quintile4	2878	0.1819	0.1978
p300_atac_only_hw500	atac	500	1	quintile5	2879	0.2763	0.2817
p300_atac_only_hw500	atac	500	1	top_quintile	2879	0.2763	0.2817
p300_atac_only_hw500	atac	500	1	top_two_quintiles	5757	0.353	0.3954
p300_atac_only_hw500	atac	500	2	all	12801	0.572	0.6108
p300_atac_only_hw500	atac	500	2	quintile1	2561	0.2977	0.2034
p300_atac_only_hw500	atac	500	2	quintile2	2560	0.0688	0.0769
p300_atac_only_hw500	atac	500	2	quintile3	2560	0.1687	0.1779
p300_atac_only_hw500	atac	500	2	quintile4	2560	0.1988	0.2045
