fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	K562p300_transferred_FULL	10800	0.7507	0.4812	0.2002	-0.022	-0.111	0.0901	0.3243	0.3396
0	K562p300_transferred_DEPTHMATCHED	10800	0.737	0.4892	0.1549	-0.0424	-0.1032	0.0888	0.3246	0.3354
0	GMatac_local	10800	0.6835	0.3084	-0.1794	-0.1185	-0.2474	0.0855	0.3256	0.3311
0	GMp300_local	10800	0.7652	0.5853		0.0	0.0	0.1039	0.3222	0.3935
1	K562p300_transferred_FULL	14362	0.7554	0.4887	0.1013	-0.0746	-0.0998	0.0847	0.3248	0.3203
1	K562p300_transferred_DEPTHMATCHED	14362	0.7373	0.4635	0.0359	-0.1016	-0.1238	0.0838	0.3248	0.3178
1	GMatac_local	14362	0.6805	0.2977	-0.0999	-0.1822	-0.25	0.079	0.326	0.3064
1	GMp300_local	14362	0.8033	0.5819		0.0	0.0	0.0986	0.3225	0.3742
2	K562p300_transferred_FULL	10491	0.7174	0.5291	0.2013	-0.0465	-0.1257	0.0846	0.3244	0.3246
2	K562p300_transferred_DEPTHMATCHED	10491	0.7193	0.5302	0.2001	-0.0437	-0.1246	0.0842	0.3243	0.3237
2	GMatac_local	10491	0.6533	0.2673	-0.2934	-0.1343	-0.3343	0.0793	0.3257	0.3113
2	GMp300_local	10491	0.7491	0.6369		0.0	0.0	0.0984	0.3221	0.376
3	K562p300_transferred_FULL	11028	0.749	0.5029	0.0834	-0.0484	-0.1377	0.0973	0.3242	0.3755
3	K562p300_transferred_DEPTHMATCHED	11028	0.7509	0.494	0.1247	-0.0455	-0.1465	0.0967	0.3239	0.3738
3	GMatac_local	11028	0.6925	0.3289	-0.2911	-0.1297	-0.2824	0.093	0.3249	0.3655
3	GMp300_local	11028	0.7806	0.6249		0.0	0.0	0.1136	0.321	0.4389
4	K562p300_transferred_FULL	10463	0.7334	0.5314	0.1069	-0.0581	-0.0932	0.0923	0.3235	0.3507
4	K562p300_transferred_DEPTHMATCHED	10463	0.7611	0.5298	0.2491	-0.0168	-0.0948	0.0923	0.3235	0.3511
4	GMatac_local	10463	0.6773	0.2946	-0.1853	-0.1372	-0.2888	0.0874	0.3246	0.3405
4	GMp300_local	10463	0.772	0.6128		0.0	0.0	0.1064	0.3211	0.4056
