fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	K562p300_local_DEPTHMATCHED	10143	0.7874	0.5893	-0.0573	-0.0308	-0.006	0.1012	0.61	0.2463
0	GMp300_transferred	10143	0.6803	0.2735	-0.1569	-0.1879	-0.2784	0.0812	0.6194	0.1893
0	K562atac_local	10143	0.6136	0.2994	-0.188	-0.2742	-0.2636	0.0819	0.6157	0.2027
0	K562p300_local_FULL	10143	0.8067	0.5943		0.0	0.0	0.1023	0.6096	0.2491
1	K562p300_local_DEPTHMATCHED	14392	0.7865	0.5628	-0.0272	-0.0364	-0.0212	0.1027	0.6092	0.2401
1	GMp300_transferred	14392	0.6883	0.2552	-0.0705	-0.1812	-0.2729	0.0793	0.6192	0.1807
1	K562atac_local	14392	0.6202	0.2761	-0.1819	-0.2704	-0.2617	0.0827	0.6152	0.1971
1	K562p300_local_FULL	14392	0.8093	0.5813		0.0	0.0	0.1045	0.6091	0.2439
2	K562p300_local_DEPTHMATCHED	12801	0.7689	0.6169	0.0067	-0.0148	-0.054	0.0949	0.6069	0.2281
2	GMp300_transferred	12801	0.6644	0.3724	-0.0458	-0.1646	-0.2959	0.0759	0.6153	0.1767
2	K562atac_local	12801	0.5739	0.3089	-0.178	-0.2767	-0.3392	0.0739	0.6136	0.1834
2	K562p300_local_FULL	12801	0.7785	0.6592		0.0	0.0	0.0968	0.6067	0.2319
3	K562p300_local_DEPTHMATCHED	12021	0.8069	0.6067	0.0806	-0.0004	-0.0358	0.1053	0.5997	0.2658
3	GMp300_transferred	12021	0.6955	0.3354	-0.0941	-0.1678	-0.2913	0.0827	0.6094	0.2031
3	K562atac_local	12021	0.6169	0.3265	-0.2563	-0.2709	-0.2973	0.0837	0.6063	0.2196
3	K562p300_local_FULL	12021	0.8071	0.6355		0.0	0.0	0.1064	0.6004	0.2687
4	K562p300_local_DEPTHMATCHED	9298	0.7888	0.6202	0.2416	0.0294	-0.0042	0.1036	0.6078	0.254
4	GMp300_transferred	9298	0.6678	0.3247	-0.0713	-0.1468	-0.2833	0.0824	0.6173	0.1956
4	K562atac_local	9298	0.586	0.3194	-0.1465	-0.2493	-0.2868	0.0827	0.614	0.2062
4	K562p300_local_FULL	9298	0.7699	0.6235		0.0	0.0	0.1037	0.6076	0.255
