fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	K562p300_transferred	10800	0.7507	0.4812	0.2002	-0.022	-0.111	0.0901	0.3243	0.3396
0	GMatac_local	10800	0.6835	0.3084	-0.1794	-0.1185	-0.2475	0.0855	0.3256	0.3311
0	GMp300_local	10800	0.7652	0.5853		0.0	0.0	0.1039	0.3222	0.3935
1	K562p300_transferred	14362	0.7554	0.4887	0.1013	-0.0746	-0.0998	0.0847	0.3248	0.3203
1	GMatac_local	14362	0.6805	0.2977	-0.0999	-0.1822	-0.25	0.079	0.326	0.3064
1	GMp300_local	14362	0.8033	0.5819		0.0	0.0	0.0986	0.3225	0.3742
2	K562p300_transferred	10491	0.7173	0.5291	0.2014	-0.0466	-0.1258	0.0846	0.3244	0.3246
2	GMatac_local	10491	0.6533	0.2673	-0.2935	-0.1343	-0.3342	0.0793	0.3257	0.3113
2	GMp300_local	10491	0.7491	0.6369		0.0	0.0	0.0984	0.3221	0.376
3	K562p300_transferred	11028	0.749	0.5028	0.0833	-0.0484	-0.1377	0.0973	0.3242	0.3755
3	GMatac_local	11028	0.6925	0.3289	-0.2911	-0.1297	-0.2824	0.093	0.3249	0.3655
3	GMp300_local	11028	0.7806	0.6249		0.0	0.0	0.1136	0.321	0.4389
4	K562p300_transferred	10463	0.7334	0.5314	0.1068	-0.0581	-0.0932	0.0923	0.3235	0.3507
4	GMatac_local	10463	0.6773	0.2947	-0.1854	-0.1372	-0.2888	0.0874	0.3246	0.3405
4	GMp300_local	10463	0.772	0.6128		0.0	0.0	0.1064	0.3211	0.4056
