arm_a	arm_b	auprc_a	auprc_b	delta	ci_lo	ci_hi	sign_kept_frac	sign_kept_pct	n_pairs	n_regulated	n_boot
p300obs_k562.ABC.Score	K562_ATAC_H3K27ac_element.ABC.Score	0.567311	0.529646	0.037666	0.01866	0.058302	0.999	99.9	10342	466	2000
p300obs_k562.ABC.Score	K562_ATAC_only.ABC.Score	0.567311	0.468009	0.099303	0.078564	0.119849	1.0	100.0	10342	466	2000
p300pred_k562_multimodal.ABC.Score	K562_ATAC_only.ABC.Score	0.522878	0.468009	0.05487	0.034303	0.074142	1.0	100.0	10342	466	2000
p300pred_k562_multimodal.ABC.Score	K562_ATAC_H3K27ac_element.ABC.Score	0.522878	0.529646	-0.006767	-0.031681	0.016756	0.7115	71.15	10342	466	2000
p300only_k562_multimodal.ABC.Score	K562_ATAC_only.ABC.Score	0.513197	0.468009	0.045189	0.011889	0.076536	0.9955	99.55	10342	466	2000
p300pred_k562_atac.ABC.Score	K562_ATAC_only.ABC.Score	0.472375	0.468009	0.004367	-0.012299	0.020848	0.6965	69.65	10342	466	2000
p300pred_k562_multimodal.ABC.Score	p300pred_k562_atac.ABC.Score	0.522878	0.472375	0.050503	0.031502	0.069043	1.0	100.0	10342	466	2000
p300pred_gm12878_multimodal.ABC.Score	K562_ATAC_only.ABC.Score	0.477101	0.468009	0.009093	-0.004158	0.022238	0.914	91.4	10342	466	2000
p300only_gm12878_multimodal.ABC.Score	K562_ATAC_only.ABC.Score	0.473076	0.468009	0.005067	-0.018823	0.028351	0.65	65.0	10342	466	2000
p300pred_k562_multimodal.ABC.Score	p300pred_gm12878_multimodal.ABC.Score	0.522878	0.477101	0.045777	0.029588	0.060966	1.0	100.0	10342	466	2000
p300pred_gm12878_multimodal.ABC.Score	K562_ATAC_H3K27ac_element.ABC.Score	0.477101	0.529646	-0.052544	-0.074048	-0.031579	1.0	100.0	10342	466	2000
