cell	assay	source	file	reads
A549	ATAC	bam	ENCFF607DTB.bam	205159798
A549	ATAC	bam	ENCFF616DYV.bam	322104304
A549	ATAC	bam	ENCFF701BDT.bam	252424876
A549	EP300	bam	ENCFF371YBD.bam	13381418
A549	EP300	bam	ENCFF639MJZ.bam	21212342
A549	EP300	bam	ENCFF981BEX.bam	20038417
HepG2	ATAC	bam	ENCFF624SON.bam	187616400
HepG2	ATAC	bam	ENCFF926KFU.bam	192960406
HepG2	ATAC	bam	ENCFF990VCP.bam	211840258
HepG2	EP300	bam	ENCFF713NWW.bam	29251913
HepG2	EP300	bam	ENCFF922TSG.bam	23504634
MCF-7	ATAC	bam	ENCFF607OSL.bam	61376458
MCF-7	ATAC	bam	ENCFF772EFK.bam	56295774
MCF-7	EP300	bam	ENCFF075FEU.bam	22262157
MCF-7	EP300	bam	ENCFF490PAU.bam	34434381
K562	ATAC	tagAlign	ENCFF077FBI.tn5.sorted.tagAlign.gz	165039276
K562	ATAC	tagAlign	ENCFF128WZG.tn5.sorted.tagAlign.gz	152787170
K562	ATAC	tagAlign	ENCFF534DCE.tn5.sorted.tagAlign.gz	228943772
GM12878	ATAC	tagAlign	ENCFF440GRZ.tn5.sorted.tagAlign.gz	209165958
GM12878	ATAC	tagAlign	ENCFF962FMH.tn5.sorted.tagAlign.gz	167184806
GM12878	ATAC	tagAlign	ENCFF981FXV.tn5.sorted.tagAlign.gz	196312432
K562	EP300	bam	ENCFF466WKF.filtered.sorted.bam	24485729
K562	EP300	bam	ENCFF163FSR.filtered.sorted.bam	26641281
GM12878	EP300	bam	ENCFF215GSQ.bam	20592467
GM12878	EP300	bam	ENCFF215GSQ.filtered.sorted.bam	15575614
GM12878	EP300	bam	ENCFF515HYM.bam	19168591
GM12878	EP300	bam	ENCFF515HYM.filtered.sorted.bam	14426067
