fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	sequence5p	10143	0.4785	0.343	0.1108	-0.4354	-0.1596	0.0513	0.6008	0.134
0	multimodal5p	10143	0.8812	0.6836	0.5804	0.112	0.1902	0.0599	0.5984	0.1595
0	residual_sequence	10143	0.8646	0.6494	0.4961	0.0831	0.1445	0.0532	0.6002	0.1397
0	residual_multimodal	10143	0.8742	0.6581	0.5447	0.0998	0.1559	0.0596	0.5984	0.1589
0	residual_atac	10143	0.8154	0.5248	0.0319	0.0004	-0.0018	0.0345	0.6046	0.0955
0	atac5p	10143	0.8151	0.5265		0.0	0.0	0.034	0.6049	0.0941
1	sequence5p	14392	0.5477	0.4083	0.2096	-0.3634	-0.0737	0.0582	0.5998	0.1554
1	multimodal5p	14392	0.8797	0.666	0.5738	0.1105	0.2031	0.0675	0.5974	0.1827
1	residual_sequence	14392	0.8606	0.6166	0.481	0.0772	0.1397	0.0601	0.5992	0.1606
1	residual_multimodal	14392	0.8734	0.6478	0.5387	0.0995	0.1792	0.0668	0.5972	0.1802
1	residual_atac	14392	0.8147	0.4903	0.0576	0.0004	-0.0	0.0375	0.6045	0.1089
1	atac5p	14392	0.8145	0.4903		0.0	0.0	0.0381	0.6044	0.111
2	sequence5p	12801	0.4848	0.4059	0.2145	-0.3894	-0.1881	0.0549	0.61	0.143
2	multimodal5p	12801	0.8472	0.6899	0.5023	0.0933	0.1232	0.0621	0.6082	0.1637
2	residual_sequence	12801	0.833	0.6461	0.4323	0.0695	0.0646	0.0562	0.6098	0.1461
2	residual_multimodal	12801	0.8414	0.6785	0.4667	0.0836	0.1076	0.0617	0.6082	0.1622
2	residual_atac	12801	0.7894	0.588	-0.0682	-0.0013	-0.0071	0.0331	0.6151	0.09
2	atac5p	12801	0.7902	0.594		0.0	0.0	0.0331	0.6149	0.0907
3	sequence5p	12021	0.4855	0.4257	0.1195	-0.4609	-0.1513	0.0573	0.6111	0.1506
3	multimodal5p	12021	0.8841	0.7068	0.5324	0.0849	0.1671	0.0653	0.6088	0.1759
3	residual_sequence	12021	0.8669	0.6698	0.4267	0.0548	0.1162	0.0592	0.6106	0.1576
3	residual_multimodal	12021	0.8783	0.6986	0.4936	0.0748	0.1555	0.0655	0.6088	0.176
3	residual_atac	12021	0.8341	0.5714	-0.0004	-0.0009	-0.006	0.0367	0.616	0.1005
3	atac5p	12021	0.8346	0.5766		0.0	0.0	0.037	0.6157	0.1022
4	sequence5p	9298	0.4724	0.3231	0.0908	-0.439	-0.2067	0.052	0.5987	0.1386
4	multimodal5p	9298	0.8784	0.688	0.5678	0.1093	0.1623	0.0596	0.5968	0.1612
4	residual_sequence	9298	0.8571	0.6472	0.4576	0.0725	0.1078	0.0544	0.5982	0.1452
4	residual_multimodal	9298	0.8695	0.6667	0.5285	0.0939	0.1334	0.059	0.597	0.1593
4	residual_atac	9298	0.8137	0.5572	-0.0345	-0.0	-0.0007	0.0332	0.6029	0.0927
4	atac5p	9298	0.8138	0.5578		0.0	0.0	0.0328	0.6029	0.0917
