fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	sequence_narrow	10143	0.4785	0.343	0.0524	-0.4701	-0.2086	0.0513	0.6008	0.134
0	sequence_WIDE	10143	0.5374	0.3217	0.0785	-0.4104	-0.2228	0.0519	0.6008	0.135
0	atac_narrow	10143	0.8361	0.5712		0.0	0.0	0.0391	0.6036	0.1093
1	sequence_narrow	14392	0.5477	0.4083	0.1467	-0.3908	-0.1118	0.0582	0.5998	0.1554
1	sequence_WIDE	14392	0.5837	0.3738	0.1522	-0.3501	-0.1387	0.0583	0.5996	0.156
1	atac_narrow	14392	0.8311	0.5277		0.0	0.0	0.0433	0.6034	0.1247
2	sequence_narrow	12801	0.4848	0.4059	0.2375	-0.4068	-0.193	0.0549	0.61	0.143
2	sequence_WIDE	12801	0.51	0.4093	0.2373	-0.3817	-0.1903	0.0547	0.6103	0.1425
2	atac_narrow	12801	0.8011	0.5982		0.0	0.0	0.0396	0.6135	0.1089
3	sequence_narrow	12021	0.4855	0.4257	0.13	-0.4849	-0.1899	0.0573	0.6111	0.1506
3	sequence_WIDE	12021	0.5223	0.4334	0.1709	-0.4479	-0.1833	0.0572	0.6114	0.1515
3	atac_narrow	12021	0.8489	0.6092		0.0	0.0	0.0432	0.6142	0.1197
4	sequence_narrow	9298	0.4724	0.3231	0.1032	-0.471	-0.2561	0.052	0.5987	0.1386
4	sequence_WIDE	9298	0.5307	0.3361	0.1222	-0.4124	-0.2475	0.0523	0.599	0.1407
4	atac_narrow	9298	0.8331	0.6004		0.0	0.0	0.0382	0.6016	0.1068
