bin_bp	stratum	n_elements	shape_r_unstranded	shape_r_plus	shape_r_minus	ceiling_unstranded	ceiling_plus	ceiling_minus	n_bins
1	all	15589	0.005	0.0055	0.0062	0.1	0.105	0.1109	1000
1	topq	4018	0.0157	0.0139	0.0157	0.1761	0.1658	0.1759	1000
5	all	15589	0.022	0.0239	0.0251	0.2077	0.2163	0.2213	200
5	topq	4018	0.0647	0.0573	0.0603	0.3487	0.3292	0.3373	200
10	all	15589	0.0383	0.0425	0.0423	0.2716	0.2854	0.2848	100
10	topq	4018	0.1128	0.1018	0.1044	0.4503	0.4299	0.4348	100
25	all	15589	0.0773	0.086	0.0868	0.3788	0.398	0.3996	40
25	topq	4018	0.2178	0.2023	0.2072	0.598	0.5801	0.5859	40
50	all	15589	0.1212	0.1342	0.1363	0.4649	0.4865	0.4898	20
50	topq	4018	0.3253	0.3048	0.3134	0.7007	0.6835	0.6908	20
100	all	15589	0.1756	0.1944	0.2001	0.5466	0.5706	0.5775	10
100	topq	4018	0.4387	0.4171	0.432	0.7809	0.7673	0.7768	10
250	all	15423	0.2621	0.2819	0.2919	0.6445	0.6632	0.6723	4
250	topq	4016	0.5862	0.5506	0.5696	0.8597	0.8427	0.8519	4
