bin_bp	stratum	n_elements	shape_r_unstranded	shape_r_plus	shape_r_minus	ceiling_unstranded	ceiling_plus	ceiling_minus	n_bins
1	all	19895	0.1138	0.1102	0.1107	0.452	0.4455	0.4465	1000
1	topq	4021	0.3073	0.2982	0.2989	0.6857	0.6778	0.6784	1000
5	all	19895	0.1807	0.1513	0.1511	0.5532	0.5126	0.5123	200
5	topq	4021	0.4388	0.3774	0.3769	0.781	0.7403	0.7399	200
10	all	19895	0.2341	0.1931	0.1923	0.616	0.5689	0.568	100
10	topq	4021	0.5225	0.4489	0.4486	0.8285	0.7872	0.787	100
25	all	19895	0.3312	0.2747	0.2734	0.7054	0.6565	0.6553	40
25	topq	4021	0.643	0.5645	0.5621	0.8847	0.8495	0.8483	40
50	all	19895	0.4234	0.3549	0.3543	0.7713	0.7238	0.7233	20
50	topq	4021	0.7276	0.657	0.6529	0.9178	0.8905	0.8888	20
100	all	19895	0.5214	0.4454	0.448	0.8279	0.7851	0.7866	10
100	topq	4021	0.7947	0.7381	0.7331	0.9411	0.9216	0.9198	10
250	all	19836	0.5866	0.5307	0.5294	0.8599	0.8327	0.8321	4
250	topq	4021	0.8301	0.8071	0.802	0.9525	0.9451	0.9435	4
