bin_bp	stratum	n_elements	shape_r_unstranded	shape_r_plus	shape_r_minus	ceiling_unstranded	ceiling_plus	ceiling_minus	n_bins
1	all	16148	0.0069	0.0078	0.0082	0.1171	0.1246	0.1275	1000
1	topq	4033	0.0225	0.0218	0.0219	0.2096	0.2065	0.2071	1000
5	all	16148	0.0263	0.0299	0.0311	0.2266	0.2409	0.2455	200
5	topq	4033	0.0853	0.0824	0.0831	0.3965	0.3902	0.3917	200
10	all	16148	0.0448	0.0512	0.0524	0.2929	0.312	0.3156	100
10	topq	4033	0.1413	0.1357	0.1378	0.4975	0.4889	0.4922	100
25	all	16148	0.0834	0.0946	0.0953	0.3924	0.4158	0.4172	40
25	topq	4033	0.2497	0.2397	0.2405	0.6322	0.6219	0.6226	40
50	all	16148	0.1235	0.136	0.1419	0.4689	0.4894	0.4985	20
50	topq	4033	0.3498	0.3314	0.338	0.7199	0.7056	0.7108	20
100	all	16148	0.1724	0.1891	0.193	0.5423	0.5639	0.5689	10
100	topq	4033	0.451	0.4305	0.4373	0.7884	0.7758	0.78	10
250	all	16054	0.236	0.2509	0.2529	0.618	0.6334	0.6354	4
250	topq	4032	0.5583	0.539	0.5318	0.8465	0.8369	0.8333	4
