bin_bp	stratum	n_elements	shape_r_unstranded	shape_r_plus	shape_r_minus	ceiling_unstranded	ceiling_plus	ceiling_minus	n_bins
1	all	19829	0.2496	0.2373	0.239	0.6321	0.6194	0.6211	1000
1	topq	4000	0.562	0.5348	0.5377	0.8483	0.8348	0.8363	1000
5	all	19829	0.3827	0.3399	0.3418	0.744	0.7123	0.7138	200
5	topq	4000	0.7358	0.675	0.6775	0.9207	0.8978	0.8988	200
10	all	19829	0.467	0.4161	0.4183	0.7979	0.7666	0.768	100
10	topq	4000	0.8099	0.7533	0.7551	0.946	0.927	0.9276	100
25	all	19829	0.5908	0.5354	0.5371	0.8618	0.8351	0.836	40
25	topq	4000	0.885	0.8435	0.8457	0.969	0.9566	0.9573	40
50	all	19829	0.6848	0.6281	0.6304	0.9016	0.8784	0.8794	20
50	topq	4000	0.9266	0.8974	0.8982	0.9808	0.9726	0.9728	20
100	all	19829	0.7625	0.711	0.7148	0.9302	0.9116	0.9131	10
100	topq	4000	0.9554	0.9388	0.9373	0.9885	0.9841	0.9837	10
250	all	19807	0.7894	0.75	0.7585	0.9393	0.9258	0.9288	4
250	topq	4000	0.964	0.9537	0.9541	0.9908	0.9881	0.9882	4
