bin_bp	stratum	n_elements	shape_r_unstranded	shape_r_plus	shape_r_minus	ceiling_unstranded	ceiling_plus	ceiling_minus	n_bins
1	all	19512	0.0209	0.0198	0.0199	0.2024	0.1969	0.1975	1000
1	topq	4010	0.0848	0.079	0.0793	0.3954	0.3826	0.3834	1000
5	all	19512	0.0692	0.0669	0.0676	0.3597	0.3541	0.3558	200
5	topq	4010	0.2643	0.253	0.2529	0.6466	0.6355	0.6354	200
10	all	19512	0.1046	0.1026	0.1041	0.4352	0.4315	0.4343	100
10	topq	4010	0.3802	0.3709	0.3702	0.7423	0.7356	0.7351	100
25	all	19512	0.1676	0.1687	0.1703	0.5358	0.5373	0.5395	40
25	topq	4010	0.5507	0.5489	0.5495	0.8428	0.8419	0.8422	40
50	all	19512	0.229	0.231	0.2347	0.6105	0.6127	0.6166	20
50	topq	4010	0.6726	0.6776	0.6785	0.8968	0.8988	0.8991	20
100	all	19511	0.2986	0.3001	0.3041	0.6782	0.6794	0.6829	10
100	topq	4010	0.7765	0.7873	0.7862	0.935	0.9386	0.9382	10
250	all	19364	0.3923	0.3881	0.3953	0.7507	0.7478	0.7527	4
250	topq	4010	0.8664	0.8714	0.8751	0.9635	0.965	0.9661	4
