position	ATAC	ATAC (normalized)	H3K27ac	H3K27ac (normalized)
-1987.5	91.91449	0.17662537	0.05809987	0.27298445
-1962.5	93.21803	0.1791303	0.059406564	0.27912402
-1937.5	94.55783	0.1817049	0.05991327	0.28150478
-1912.5	95.66836	0.1838389	0.06181981	0.29046273
-1887.5	96.89533	0.1861967	0.062106557	0.29181004
-1862.5	97.58158	0.18751541	0.06300654	0.29603866
-1837.5	97.89809	0.18812361	0.06188651	0.29077613
-1812.5	98.23125	0.18876383	0.06407322	0.30105048
-1787.5	98.922424	0.19009201	0.06523981	0.30653173
-1762.5	99.756065	0.19169396	0.06769984	0.3180903
-1737.5	101.103325	0.19428289	0.067226455	0.31586605
-1712.5	102.86391	0.19766606	0.06815321	0.32022047
-1687.5	104.12175	0.20008318	0.06918657	0.32507575
-1662.5	105.11633	0.20199439	0.06952652	0.32667303
-1637.5	106.34672	0.20435873	0.06979318	0.32792592
-1612.5	107.12763	0.20585936	0.07239976	0.34017304
-1587.5	108.34855	0.2082055	0.07355317	0.34559238
-1562.5	109.6414	0.21068989	0.075073205	0.35273433
-1537.5	110.813705	0.21294262	0.073099926	0.3434628
-1512.5	112.17644	0.21556129	0.07599319	0.3570569
-1487.5	114.01667	0.21909752	0.07735984	0.36347815
-1462.5	115.17277	0.22131911	0.0814131	0.38252255
-1437.5	117.06763	0.22496033	0.080926724	0.3802373
-1412.5	118.91568	0.22851159	0.08333994	0.39157587
-1387.5	120.526115	0.23160625	0.083599836	0.39279702
-1362.5	122.35478	0.23512027	0.08504641	0.3995938
-1337.5	124.60949	0.23945297	0.086126454	0.40466842
-1312.5	126.64151	0.24335775	0.08805308	0.41372076
-1287.5	129.10713	0.24809577	0.088239655	0.4145974
-1262.5	131.77057	0.25321388	0.09089958	0.42709514
-1237.5	134.37296	0.2582147	0.091986306	0.43220118
-1212.5	136.92426	0.26311734	0.09331293	0.43843436
-1187.5	139.32674	0.26773402	0.09484637	0.44563928
-1162.5	141.55664	0.2720191	0.09654628	0.45362636
-1137.5	143.357	0.2754787	0.09715286	0.45647642
-1112.5	145.4331	0.27946818	0.100105904	0.47035143
-1087.5	147.71188	0.28384715	0.10002609	0.46997643
-1062.5	149.84634	0.2879488	0.10223941	0.48037577
-1037.5	152.40088	0.29285765	0.103945956	0.48839405
-1012.5	155.17755	0.2981934	0.10755915	0.5053708
-987.5	157.73708	0.30311182	0.10959263	0.5149252
-962.5	160.40965	0.30824754	0.11156606	0.5241974
-937.5	163.04626	0.3133141	0.11291256	0.53052396
-912.5	165.48354	0.31799763	0.114619076	0.5385421
-887.5	168.13313	0.32308918	0.11669921	0.5483157
-862.5	171.25969	0.32909727	0.12013231	0.5644463
-837.5	173.99066	0.33434516	0.12218567	0.57409406
-812.5	176.58652	0.33933344	0.12555894	0.58994347
-787.5	179.41685	0.34477228	0.12771909	0.600093
-762.5	181.98909	0.34971517	0.1279591	0.6012207
-737.5	184.42073	0.35438788	0.13110545	0.616004
-712.5	187.16502	0.35966137	0.13346541	0.6270923
-687.5	190.1968	0.3654873	0.14096549	0.66233176
-662.5	192.73738	0.37036937	0.14501198	0.68134433
-637.5	195.35312	0.37539583	0.14835891	0.69707
-612.5	197.34265	0.379219	0.15445217	0.7256994
-587.5	198.2678	0.3809968	0.15837201	0.74411696
-562.5	199.10237	0.38260052	0.164252	0.7717443
-537.5	199.9732	0.38427392	0.16835198	0.7910082
-512.5	201.23564	0.38669986	0.17113855	0.80410105
-487.5	203.28506	0.39063808	0.17849872	0.838683
-462.5	206.4533	0.39672625	0.18289205	0.8593253
-437.5	210.37883	0.40426967	0.18869863	0.88660777
-412.5	215.83119	0.41474706	0.19184534	0.9013927
-387.5	223.91612	0.43028328	0.19312505	0.90740544
-362.5	233.78503	0.44924766	0.19562568	0.9191547
-337.5	246.6345	0.47393954	0.2005119	0.94211286
-312.5	260.5307	0.50064284	0.2059985	0.9678918
-287.5	276.34848	0.5310387	0.20849168	0.97960615
-262.5	294.5451	0.5660058	0.21283215	1.0
-237.5	313.6131	0.6026474	0.21019195	0.9875949
-212.5	332.24066	0.63844264	0.20736562	0.9743153
-187.5	350.89783	0.67429477	0.19839868	0.9321838
-162.5	371.58255	0.7140431	0.19881183	0.93412495
-137.5	395.17157	0.7593724	0.20315841	0.9545475
-112.5	421.79907	0.8105405	0.2093053	0.98342896
-87.5	449.69043	0.8641373	0.21019852	0.9876258
-62.5	477.7183	0.9179964	0.21207888	0.99646074
-37.5	504.4608	0.9693855	0.20299874	0.95379734
-12.5	520.39233	1.0	0.20104527	0.9446189
12.5	520.1309	0.99949765	0.2011118	0.94493145
37.5	502.65378	0.9659131	0.20346531	0.95598954
62.5	474.2239	0.9112815	0.2035718	0.95648986
87.5	444.18222	0.8535526	0.20964547	0.98502725
112.5	417.16763	0.8016406	0.20561814	0.9661047
137.5	393.2873	0.7557515	0.20615199	0.968613
162.5	370.95322	0.71283376	0.1992387	0.93613064
187.5	351.22745	0.6749282	0.20011874	0.94026554
212.5	332.62646	0.639184	0.20465171	0.9615639
237.5	314.02164	0.6034325	0.20636536	0.9696155
262.5	295.237	0.5673354	0.20667191	0.97105587
287.5	277.39185	0.5330437	0.20560512	0.96604353
312.5	260.8912	0.5013356	0.20065197	0.94277096
337.5	246.68332	0.47403336	0.19594523	0.92065614
362.5	234.88881	0.4513687	0.19222492	0.9031761
387.5	225.24776	0.4328422	0.19171195	0.9007659
412.5	218.19789	0.41929498	0.18991876	0.89234054
437.5	212.37502	0.40810558	0.1860453	0.874141
462.5	208.12134	0.3999316	0.18453875	0.8670624
487.5	205.75473	0.39538386	0.17632523	0.8284708
512.5	204.1494	0.39229903	0.16825897	0.79057115
537.5	203.57571	0.3911966	0.16511896	0.77581775
562.5	203.10298	0.39028817	0.15950544	0.7494424
587.5	202.21198	0.388576	0.15877214	0.74599695
612.5	200.4429	0.3851765	0.15361199	0.7217518
637.5	199.12386	0.3826418	0.14909874	0.70054615
662.5	197.09995	0.3787526	0.14342545	0.67388994
687.5	194.424	0.3736104	0.13953866	0.6556277
712.5	191.60435	0.3681921	0.13571902	0.637681
737.5	188.71332	0.36263663	0.13473229	0.63304484
762.5	185.59245	0.35663947	0.1331589	0.6256522
787.5	182.3337	0.35037735	0.1297321	0.60955125
812.5	179.0396	0.34404734	0.12565243	0.59038275
837.5	175.62305	0.337482	0.1243723	0.584368
862.5	172.83827	0.3321307	0.122072265	0.5735612
887.5	170.21298	0.32708588	0.12077925	0.5674859
912.5	166.80493	0.32053688	0.1164059	0.5469375
937.5	163.35565	0.31390864	0.114725664	0.5390429
962.5	159.29167	0.30609918	0.110319145	0.51833874
987.5	156.02863	0.29982883	0.1122392	0.52736014
1012.5	153.6995	0.2953531	0.110659264	0.5199368
1037.5	151.20654	0.2905626	0.10693281	0.5024279
1062.5	149.05385	0.28642592	0.107719034	0.506122
