fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	atac_5PRIME	10800	0.8003	0.4792	0.2537	0.0242	0.0233	0.0314	0.561	0.0932
0	multimodal_OLD	10800	0.8345	0.5669	0.4562	0.08	0.1152	0.0489	0.5577	0.1352
0	multimodal_5PRIME	10800	0.8375	0.5712	0.4727	0.0851	0.12	0.0493	0.5575	0.1365
0	atac_OLD	10800	0.7851	0.4542		0.0	0.0	0.0273	0.5616	0.0811
1	atac_5PRIME	14362	0.7989	0.5176	0.2653	0.0305	0.0299	0.0374	0.5678	0.1062
1	multimodal_OLD	14362	0.8403	0.585	0.5004	0.0984	0.1042	0.0578	0.5637	0.1537
1	multimodal_5PRIME	14362	0.8399	0.5714	0.4991	0.0978	0.0885	0.0581	0.5635	0.1547
1	atac_OLD	14362	0.7796	0.4878		0.0	0.0	0.0328	0.5688	0.093
2	atac_5PRIME	10491	0.7829	0.5139	0.2594	0.0266	0.0031	0.0336	0.5632	0.0973
2	multimodal_OLD	10491	0.8205	0.5978	0.4588	0.0869	0.0963	0.0515	0.5597	0.1402
2	multimodal_5PRIME	10491	0.8198	0.5957	0.4563	0.0857	0.0938	0.0517	0.5595	0.1411
2	atac_OLD	10491	0.7657	0.511		0.0	0.0	0.0297	0.5638	0.0863
3	atac_5PRIME	11028	0.8024	0.5251	0.2327	0.0196	0.0158	0.0341	0.5687	0.0963
3	multimodal_OLD	11028	0.8317	0.582	0.4278	0.0676	0.0789	0.0533	0.5651	0.1423
3	multimodal_5PRIME	11028	0.8342	0.5893	0.4397	0.0717	0.0874	0.0538	0.5649	0.1438
3	atac_OLD	11028	0.79	0.5098		0.0	0.0	0.0302	0.5694	0.085
4	atac_5PRIME	10463	0.7747	0.5527	0.235	0.0221	0.0361	0.0318	0.565	0.0896
4	multimodal_OLD	10463	0.8176	0.6025	0.4634	0.0904	0.0936	0.0495	0.5618	0.133
4	multimodal_5PRIME	10463	0.8141	0.5998	0.4486	0.0846	0.0904	0.0495	0.5617	0.1332
4	atac_OLD	10463	0.7604	0.519		0.0	0.0	0.0276	0.5657	0.0781
