fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	atac_5PRIME	10143	0.8369	0.5723	0.3177	0.0344	0.046	0.04	0.6036	0.1114
0	multimodal_OLD	10143	0.8853	0.6943	0.594	0.1176	0.2005	0.0616	0.5983	0.1635
0	multimodal_5PRIME	10143	0.8865	0.6991	0.599	0.1197	0.2073	0.0622	0.5982	0.1657
0	atac_OLD	10143	0.8161	0.5306		0.0	0.0	0.0345	0.6048	0.0956
1	atac_5PRIME	14392	0.8314	0.528	0.2824	0.0259	0.0368	0.0442	0.6034	0.1268
1	multimodal_OLD	14392	0.8814	0.6726	0.5785	0.1115	0.2104	0.0689	0.5973	0.1862
1	multimodal_5PRIME	14392	0.8861	0.6963	0.6	0.12	0.2428	0.0702	0.5966	0.1904
1	atac_OLD	14392	0.8156	0.4919		0.0	0.0	0.0386	0.6044	0.1123
2	atac_5PRIME	12801	0.802	0.5994	0.2401	0.0182	0.0054	0.0403	0.6135	0.1108
2	multimodal_OLD	12801	0.8499	0.6995	0.5112	0.0973	0.1354	0.0635	0.6081	0.1671
2	multimodal_5PRIME	12801	0.8505	0.6994	0.5166	0.0983	0.1353	0.0644	0.6079	0.1706
2	atac_OLD	12801	0.7905	0.5949		0.0	0.0	0.0337	0.6149	0.0921
3	atac_5PRIME	12021	0.8497	0.6144	0.29	0.0244	0.0453	0.0441	0.6141	0.1219
3	multimodal_OLD	12021	0.8867	0.7139	0.5423	0.0886	0.1775	0.067	0.6087	0.1803
3	multimodal_5PRIME	12021	0.8864	0.7037	0.5396	0.0881	0.163	0.0679	0.6088	0.1841
3	atac_OLD	12021	0.8352	0.5763		0.0	0.0	0.0374	0.6157	0.1031
4	atac_5PRIME	9298	0.8348	0.6039	0.3193	0.0332	0.0515	0.0389	0.6016	0.109
4	multimodal_OLD	9298	0.8798	0.6945	0.5714	0.1104	0.1691	0.061	0.5967	0.1647
4	multimodal_5PRIME	9298	0.8811	0.6961	0.5778	0.1126	0.1712	0.0615	0.5965	0.1668
4	atac_OLD	9298	0.8147	0.5597		0.0	0.0	0.0333	0.6029	0.0931
