fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	atac_5PRIME	10143	0.6122	0.2621	0.1156	-0.0017	-0.0209	0.0843	0.6152	0.2114
0	multimodal_OLD	10143	0.8067	0.5943	0.6781	0.2742	0.2636	0.1023	0.6096	0.2491
0	multimodal_5PRIME	10143	0.8044	0.6278	0.6753	0.2706	0.3044	0.1039	0.6096	0.2525
0	atac_OLD	10143	0.6136	0.2994		0.0	0.0	0.0819	0.6157	0.2027
1	atac_5PRIME	14392	0.5934	0.2541	0.0046	-0.0326	-0.0116	0.0847	0.614	0.2035
1	multimodal_OLD	14392	0.8093	0.5813	0.6764	0.2704	0.2617	0.1045	0.6091	0.2439
1	multimodal_5PRIME	14392	0.8086	0.6279	0.6722	0.2691	0.3181	0.1057	0.6078	0.247
1	atac_OLD	14392	0.6202	0.2761		0.0	0.0	0.0827	0.6152	0.1971
2	atac_5PRIME	12801	0.5927	0.3139	0.1818	0.022	0.0031	0.0768	0.6126	0.192
2	multimodal_OLD	12801	0.7785	0.6592	0.6543	0.2767	0.3392	0.0968	0.6067	0.2319
2	multimodal_5PRIME	12801	0.7774	0.6436	0.6609	0.275	0.3188	0.0987	0.6065	0.2357
2	atac_OLD	12801	0.5739	0.3089		0.0	0.0	0.0739	0.6136	0.1834
3	atac_5PRIME	12021	0.6127	0.2967	0.1131	-0.0051	-0.0186	0.0857	0.6057	0.2252
3	multimodal_OLD	12021	0.8071	0.6355	0.6749	0.2709	0.2973	0.1064	0.6004	0.2687
3	multimodal_5PRIME	12021	0.8049	0.6253	0.675	0.2674	0.2844	0.1081	0.6001	0.2711
3	atac_OLD	12021	0.6169	0.3265		0.0	0.0	0.0837	0.6063	0.2196
4	atac_5PRIME	9298	0.586	0.3308	0.1081	-0.0	0.0075	0.0849	0.6142	0.2133
4	multimodal_OLD	9298	0.7699	0.6235	0.626	0.2493	0.2868	0.1037	0.6076	0.255
4	multimodal_5PRIME	9298	0.8096	0.6857	0.7055	0.312	0.3682	0.1049	0.6075	0.2567
4	atac_OLD	9298	0.586	0.3194		0.0	0.0	0.0827	0.614	0.2062
