fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	mm_trained_DNase_elements	9856	0.8767	0.712	0.5192	0.0833	0.1613	0.0592	0.6028	0.1607
0	mm_trained_ATAC_elements	9856	0.8798	0.7067	0.5435	0.0887	0.1538	0.0591	0.6028	0.1602
0	atac_flat	9856	0.8279	0.5879		0.0	0.0	0.0375	0.6079	0.1068
1	mm_trained_DNase_elements	12815	0.8743	0.6933	0.5332	0.0922	0.2052	0.0696	0.5967	0.189
1	mm_trained_ATAC_elements	12815	0.8771	0.6751	0.551	0.0972	0.1802	0.0691	0.597	0.1876
1	atac_flat	12815	0.8198	0.5249		0.0	0.0	0.0432	0.6034	0.125
2	mm_trained_DNase_elements	14350	0.7843	0.7187	0.4004	0.0724	0.1291	0.0562	0.6012	0.1511
2	mm_trained_ATAC_elements	14350	0.7893	0.7279	0.4206	0.0803	0.1424	0.0565	0.6012	0.1518
2	atac_flat	14350	0.7367	0.6224		0.0	0.0	0.0345	0.6059	0.098
3	mm_trained_DNase_elements	12922	0.8504	0.7271	0.4484	0.0696	0.121	0.0614	0.6063	0.169
3	mm_trained_ATAC_elements	12922	0.8576	0.7321	0.4861	0.0818	0.1282	0.0612	0.606	0.1677
3	atac_flat	12922	0.8085	0.6386		0.0	0.0	0.0393	0.611	0.1119
4	mm_trained_DNase_elements	9545	0.8606	0.7129	0.4759	0.0787	0.1193	0.0563	0.6003	0.1551
4	mm_trained_ATAC_elements	9545	0.8688	0.7168	0.5269	0.0929	0.1249	0.0563	0.6002	0.1557
4	atac_flat	9545	0.8136	0.6236		0.0	0.0	0.0349	0.6048	0.1003
