fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	GMseq_to_K562	10143	0.393	0.3076	-0.0067	-0.4945	-0.1755	0.0347	0.6042	0.0939
0	GMmm_to_K562	10143	0.8439	0.6059	0.4416	0.0631	0.097	0.0429	0.6026	0.1181
0	GMresSeq_to_K562	10143	0.8295	0.588	0.3515	0.0392	0.0757	0.0363	0.6038	0.0994
0	GMresMM_to_K562	10143	0.8374	0.609	0.4026	0.0522	0.1008	0.0433	0.6027	0.1192
0	GMatac_to_K562	10143	0.8056	0.5197		0.0	0.0	0.0298	0.6058	0.087
1	GMseq_to_K562	14392	0.4714	0.3279	0.0469	-0.4297	-0.1292	0.0394	0.6039	0.1067
1	GMmm_to_K562	14392	0.8452	0.5904	0.4489	0.0624	0.1118	0.0495	0.6018	0.139
1	GMresSeq_to_K562	14392	0.834	0.5854	0.3549	0.0437	0.1059	0.0413	0.6032	0.1144
1	GMresMM_to_K562	14392	0.8368	0.5864	0.3941	0.0483	0.1071	0.049	0.602	0.1347
1	GMatac_to_K562	14392	0.8074	0.4866		0.0	0.0	0.0342	0.6058	0.1031
2	GMseq_to_K562	12801	0.3914	0.3382	0.0842	-0.448	-0.2145	0.0363	0.614	0.0952
2	GMmm_to_K562	12801	0.7958	0.5971	0.3562	0.0321	0.0277	0.0441	0.6124	0.1193
2	GMresSeq_to_K562	12801	0.7964	0.5862	0.3142	0.0331	0.0148	0.0385	0.6134	0.104
2	GMresMM_to_K562	12801	0.7903	0.606	0.2967	0.0234	0.0384	0.0443	0.6122	0.1202
2	GMatac_to_K562	12801	0.7754	0.5735		0.0	0.0	0.0284	0.6158	0.083
3	GMseq_to_K562	12021	0.3832	0.3739	-0.025	-0.5342	-0.1861	0.0371	0.6153	0.1012
3	GMmm_to_K562	12021	0.8462	0.6329	0.3866	0.0349	0.0747	0.047	0.6133	0.132
3	GMresSeq_to_K562	12021	0.8355	0.6192	0.2708	0.0169	0.0576	0.0398	0.6145	0.11
3	GMresMM_to_K562	12021	0.8413	0.6161	0.3178	0.0266	0.0537	0.0467	0.6133	0.1311
3	GMatac_to_K562	12021	0.8253	0.5708		0.0	0.0	0.0313	0.6168	0.0932
4	GMseq_to_K562	9298	0.3801	0.2933	-0.0806	-0.5007	-0.2306	0.0336	0.6025	0.0914
4	GMmm_to_K562	9298	0.8389	0.6363	0.4426	0.0587	0.0882	0.042	0.6009	0.1178
4	GMresSeq_to_K562	9298	0.8218	0.6157	0.3292	0.0302	0.0625	0.0361	0.6018	0.1008
4	GMresMM_to_K562	9298	0.8314	0.621	0.3953	0.046	0.0691	0.043	0.6007	0.1194
4	GMatac_to_K562	9298	0.8032	0.5627		0.0	0.0	0.0287	0.6039	0.0843
