fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	K562seq_to_GM	10800	0.3377	0.1104	0.149	-0.4837	-0.1799	0.0267	0.5608	0.071
0	K562mm_to_GM	10800	0.7899	0.4805	0.2857	0.0263	0.0388	0.0361	0.5585	0.1017
0	K562resSeq_to_GM	10800	0.786	0.4923	0.2468	0.0201	0.0503	0.0279	0.5604	0.075
0	K562resMM_to_GM	10800	0.7849	0.4858	0.2334	0.0184	0.0439	0.0357	0.5586	0.1004
0	K562atac_to_GM	10800	0.7731	0.4383		0.0	0.0	0.0245	0.5615	0.0739
1	K562seq_to_GM	14362	0.4128	0.1518	0.2179	-0.4202	-0.1983	0.0326	0.5674	0.086
1	K562mm_to_GM	14362	0.8035	0.5426	0.3594	0.0551	0.0731	0.0438	0.5648	0.1189
1	K562resSeq_to_GM	14362	0.789	0.5043	0.2896	0.032	0.033	0.0334	0.5672	0.0881
1	K562resMM_to_GM	14362	0.7954	0.5208	0.2862	0.0421	0.0499	0.0432	0.5648	0.1176
1	K562atac_to_GM	14362	0.7685	0.4705		0.0	0.0	0.0303	0.5683	0.0872
2	K562seq_to_GM	10491	0.38	0.186	0.164	-0.4254	-0.2052	0.0286	0.5628	0.0768
2	K562mm_to_GM	10491	0.7787	0.5399	0.312	0.0365	0.0517	0.0382	0.5607	0.1059
2	K562resSeq_to_GM	10491	0.7675	0.519	0.2324	0.0193	0.0296	0.0298	0.5626	0.0803
2	K562resMM_to_GM	10491	0.7764	0.5436	0.2714	0.0331	0.0558	0.0382	0.5607	0.106
2	K562atac_to_GM	10491	0.7548	0.4897		0.0	0.0	0.0272	0.5636	0.0806
3	K562seq_to_GM	11028	0.3594	0.1612	0.1198	-0.4787	-0.2124	0.0285	0.5686	0.0744
3	K562mm_to_GM	11028	0.7917	0.5157	0.2598	0.019	0.0275	0.0391	0.5662	0.1061
3	K562resSeq_to_GM	11028	0.7883	0.5138	0.2133	0.0136	0.0256	0.03	0.5683	0.0781
3	K562resMM_to_GM	11028	0.7889	0.5062	0.2103	0.0146	0.0178	0.0388	0.5662	0.1055
3	K562atac_to_GM	11028	0.7796	0.4883		0.0	0.0	0.0272	0.5693	0.0779
4	K562seq_to_GM	10463	0.3374	0.1612	0.1655	-0.4437	-0.2259	0.027	0.5647	0.0719
4	K562mm_to_GM	10463	0.7717	0.5426	0.2954	0.038	0.0426	0.0363	0.5627	0.0998
4	K562resSeq_to_GM	10463	0.755	0.5247	0.1985	0.0125	0.0235	0.0279	0.5645	0.0743
4	K562resMM_to_GM	10463	0.7638	0.527	0.2201	0.0259	0.0259	0.0359	0.5628	0.098
4	K562atac_to_GM	10463	0.7467	0.5018		0.0	0.0	0.0248	0.5654	0.0719
