fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	sequence5p	10143	0.497	0.3539	0.1112	-0.4191	-0.1563	0.0536	0.6007	0.14
0	multimodal5p	10143	0.8853	0.6943	0.594	0.1176	0.2005	0.0616	0.5983	0.1635
0	atac5p	10143	0.8161	0.5306		0.0	0.0	0.0345	0.6048	0.0956
1	sequence5p	14392	0.5702	0.4251	0.2117	-0.3401	-0.0613	0.0606	0.5996	0.1619
1	multimodal5p	14392	0.8814	0.6726	0.5785	0.1115	0.2104	0.0689	0.5973	0.1862
1	atac5p	14392	0.8156	0.4919		0.0	0.0	0.0386	0.6044	0.1123
2	sequence5p	12801	0.501	0.4228	0.2131	-0.374	-0.1751	0.0568	0.6099	0.1483
2	multimodal5p	12801	0.8499	0.6995	0.5112	0.0973	0.1354	0.0635	0.6081	0.1671
2	atac5p	12801	0.7905	0.5949		0.0	0.0	0.0337	0.6149	0.0921
3	sequence5p	12021	0.4985	0.438	0.1163	-0.4491	-0.1403	0.0595	0.611	0.1564
3	multimodal5p	12021	0.8867	0.7139	0.5423	0.0886	0.1775	0.067	0.6087	0.1803
3	atac5p	12021	0.8352	0.5763		0.0	0.0	0.0374	0.6157	0.1031
4	sequence5p	9298	0.4962	0.3474	0.0897	-0.4174	-0.1926	0.0542	0.5986	0.145
4	multimodal5p	9298	0.8798	0.6945	0.5714	0.1104	0.1691	0.061	0.5967	0.1647
4	atac5p	9298	0.8147	0.5597		0.0	0.0	0.0333	0.6029	0.0931
