fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	multimodal_flat	10800	0.8375	0.5712	0.4147	0.0609	0.0967	0.0493	0.5575	0.1365
0	multimodal_FRAGCHAN	10800	0.8392	0.578	0.4235	0.0637	0.1045	0.0493	0.5576	0.1366
0	atac_flat	10800	0.8003	0.4792		0.0	0.0	0.0314	0.561	0.0932
1	multimodal_flat	14362	0.8399	0.5714	0.4396	0.0672	0.0585	0.0581	0.5635	0.1547
1	multimodal_FRAGCHAN	14362	0.8411	0.5785	0.4447	0.0691	0.0668	0.0584	0.5635	0.1559
1	atac_flat	14362	0.7989	0.5176		0.0	0.0	0.0374	0.5678	0.1062
2	multimodal_flat	10491	0.8198	0.5957	0.3931	0.0591	0.0907	0.0517	0.5595	0.1411
2	multimodal_FRAGCHAN	10491	0.8242	0.5946	0.4153	0.0663	0.0894	0.0519	0.5595	0.1415
2	atac_flat	10491	0.7829	0.5139		0.0	0.0	0.0336	0.5632	0.0973
3	multimodal_flat	11028	0.8342	0.5893	0.3851	0.0521	0.0716	0.0538	0.5649	0.1438
3	multimodal_FRAGCHAN	11028	0.8361	0.598	0.3981	0.0553	0.0819	0.0537	0.5649	0.1438
3	atac_flat	11028	0.8024	0.5251		0.0	0.0	0.0341	0.5687	0.0963
4	multimodal_flat	10463	0.8141	0.5998	0.3962	0.0626	0.0543	0.0495	0.5617	0.1332
4	multimodal_FRAGCHAN	10463	0.82	0.606	0.4258	0.0721	0.0617	0.0501	0.5615	0.1349
4	atac_flat	10463	0.7747	0.5527		0.0	0.0	0.0318	0.565	0.0896
