fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	multimodal_flat	10143	0.8865	0.6991	0.5359	0.0853	0.1613	0.0622	0.5982	0.1657
0	multimodal_FRAGCHAN	10143	0.8897	0.7202	0.5541	0.0911	0.1912	0.0623	0.598	0.1666
0	atac_flat	10143	0.8369	0.5723		0.0	0.0	0.04	0.6036	0.1114
1	multimodal_flat	14392	0.8861	0.6963	0.5522	0.094	0.2061	0.0702	0.5966	0.1904
1	multimodal_FRAGCHAN	14392	0.8887	0.705	0.5658	0.0986	0.2183	0.0704	0.5966	0.1911
1	atac_flat	14392	0.8314	0.528		0.0	0.0	0.0442	0.6034	0.1268
2	multimodal_flat	12801	0.8505	0.6994	0.4796	0.0802	0.1299	0.0644	0.6079	0.1706
2	multimodal_FRAGCHAN	12801	0.854	0.7126	0.4945	0.0861	0.1485	0.0648	0.6078	0.172
2	atac_flat	12801	0.802	0.5994		0.0	0.0	0.0403	0.6135	0.1108
3	multimodal_flat	12021	0.8864	0.7037	0.4789	0.0637	0.1177	0.0679	0.6088	0.1841
3	multimodal_FRAGCHAN	12021	0.8922	0.7237	0.514	0.0741	0.1464	0.0683	0.6084	0.1852
3	atac_flat	12021	0.8497	0.6144		0.0	0.0	0.0441	0.6141	0.1219
4	multimodal_flat	9298	0.8811	0.6961	0.5097	0.0794	0.1197	0.0615	0.5965	0.1668
4	multimodal_FRAGCHAN	9298	0.882	0.7113	0.5167	0.0811	0.1412	0.0616	0.5964	0.1672
4	atac_flat	9298	0.8348	0.6039		0.0	0.0	0.0389	0.6016	0.109
