fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	sequence5p	10800	0.5004	0.204	0.1375	-0.3659	-0.1646	0.0417	0.5594	0.1143
0	multimodal5p	10800	0.8345	0.5669	0.4562	0.08	0.1152	0.0489	0.5577	0.1352
0	residual_sequence	10800	0.8208	0.55	0.3868	0.0574	0.0962	0.0441	0.5587	0.1216
0	residual_multimodal	10800	0.8306	0.5561	0.4377	0.0735	0.103	0.0491	0.5577	0.1359
0	residual_atac	10800	0.785	0.4542	-0.0057	-0.0001	0.0	0.0276	0.5616	0.0818
0	atac5p	10800	0.7851	0.4542		0.0	0.0	0.0273	0.5616	0.0811
1	sequence5p	14362	0.5293	0.2315	0.1798	-0.3276	-0.1844	0.0487	0.5661	0.1284
1	multimodal5p	14362	0.8403	0.585	0.5004	0.0984	0.1042	0.0578	0.5637	0.1537
1	residual_sequence	14362	0.8245	0.5709	0.4318	0.0721	0.0879	0.0508	0.5653	0.1349
1	residual_multimodal	14362	0.8313	0.5731	0.461	0.0833	0.0904	0.0575	0.5639	0.1526
1	residual_atac	14362	0.7799	0.4888	0.0507	0.0005	0.001	0.033	0.5687	0.0933
1	atac5p	14362	0.7796	0.4878		0.0	0.0	0.0328	0.5688	0.093
2	sequence5p	10491	0.5178	0.2852	0.1485	-0.3182	-0.1798	0.0432	0.5616	0.1164
2	multimodal5p	10491	0.8205	0.5978	0.4588	0.0869	0.0963	0.0515	0.5597	0.1402
2	residual_sequence	10491	0.8022	0.584	0.3722	0.0572	0.08	0.0459	0.561	0.1249
2	residual_multimodal	10491	0.8145	0.5976	0.4293	0.077	0.0961	0.0515	0.5594	0.1402
2	residual_atac	10491	0.7657	0.5112	-0.0002	0.0	0.0003	0.0299	0.5638	0.0868
2	atac5p	10491	0.7657	0.511		0.0	0.0	0.0297	0.5638	0.0863
3	sequence5p	11028	0.4662	0.2129	0.0861	-0.4069	-0.2146	0.0441	0.5674	0.1172
3	multimodal5p	11028	0.8317	0.582	0.4278	0.0676	0.0789	0.0533	0.5651	0.1423
3	residual_sequence	11028	0.8192	0.5568	0.3537	0.047	0.0502	0.0475	0.5665	0.1259
3	residual_multimodal	11028	0.8229	0.5659	0.3761	0.053	0.0603	0.053	0.5651	0.1416
3	residual_atac	11028	0.79	0.5108	0.0128	-0.0001	0.001	0.0307	0.5694	0.0858
3	atac5p	11028	0.79	0.5098		0.0	0.0	0.0302	0.5694	0.085
4	sequence5p	10463	0.4576	0.2186	0.1171	-0.3687	-0.2216	0.0413	0.5636	0.1108
4	multimodal5p	10463	0.8176	0.6025	0.4634	0.0904	0.0936	0.0495	0.5618	0.133
4	residual_sequence	10463	0.7967	0.5666	0.3677	0.0566	0.0517	0.0442	0.5628	0.1198
4	residual_multimodal	10463	0.8106	0.5815	0.431	0.0789	0.0688	0.0496	0.5616	0.1331
4	residual_atac	10463	0.7603	0.5194	-0.0067	-0.0001	0.0004	0.028	0.5656	0.0789
4	atac5p	10463	0.7604	0.519		0.0	0.0	0.0276	0.5657	0.0781
