fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	sequence5p	10143	0.497	0.3539	0.1112	-0.4191	-0.1563	0.0536	0.6007	0.14
0	multimodal5p	10143	0.8853	0.6943	0.594	0.1176	0.2005	0.0616	0.5983	0.1635
0	residual_sequence	10143	0.8677	0.6552	0.5078	0.0868	0.1477	0.0553	0.6001	0.1455
0	residual_multimodal	10143	0.8779	0.6736	0.5599	0.1047	0.1723	0.0613	0.5983	0.1634
0	residual_atac	10143	0.8165	0.5294	0.0347	0.0006	-0.0013	0.0349	0.6046	0.0967
0	atac5p	10143	0.8161	0.5306		0.0	0.0	0.0345	0.6048	0.0956
1	sequence5p	14392	0.5702	0.4251	0.2117	-0.3401	-0.0613	0.0606	0.5996	0.1619
1	multimodal5p	14392	0.8814	0.6726	0.5785	0.1115	0.2104	0.0689	0.5973	0.1862
1	residual_sequence	14392	0.864	0.6248	0.4956	0.0812	0.1483	0.0622	0.5991	0.1667
1	residual_multimodal	14392	0.8768	0.6539	0.5542	0.1035	0.1856	0.0688	0.5971	0.1854
1	residual_atac	14392	0.816	0.4921	0.0577	0.0006	0.0001	0.0379	0.6044	0.1101
1	atac5p	14392	0.8156	0.4919		0.0	0.0	0.0386	0.6044	0.1123
2	sequence5p	12801	0.501	0.4228	0.2131	-0.374	-0.1751	0.0568	0.6099	0.1483
2	multimodal5p	12801	0.8499	0.6995	0.5112	0.0973	0.1354	0.0635	0.6081	0.1671
2	residual_sequence	12801	0.835	0.6495	0.441	0.0722	0.0679	0.0581	0.6097	0.1515
2	residual_multimodal	12801	0.8439	0.6814	0.4768	0.0872	0.1104	0.0632	0.6081	0.1663
2	residual_atac	12801	0.7897	0.5889	-0.0676	-0.0013	-0.0071	0.0335	0.6151	0.0911
2	atac5p	12801	0.7905	0.5949		0.0	0.0	0.0337	0.6149	0.0921
3	sequence5p	12021	0.4985	0.438	0.1163	-0.4491	-0.1403	0.0595	0.611	0.1564
3	multimodal5p	12021	0.8867	0.7139	0.5423	0.0886	0.1775	0.067	0.6087	0.1803
3	residual_sequence	12021	0.8693	0.6748	0.4386	0.0581	0.1232	0.0613	0.6105	0.163
3	residual_multimodal	12021	0.8818	0.7031	0.511	0.08	0.1622	0.0671	0.6087	0.1805
3	residual_atac	12021	0.8347	0.5711	-0.0018	-0.0009	-0.0059	0.0371	0.6159	0.1015
3	atac5p	12021	0.8352	0.5763		0.0	0.0	0.0374	0.6157	0.1031
4	sequence5p	9298	0.4962	0.3474	0.0897	-0.4174	-0.1926	0.0542	0.5986	0.145
4	multimodal5p	9298	0.8798	0.6945	0.5714	0.1104	0.1691	0.061	0.5967	0.1647
4	residual_sequence	9298	0.86	0.652	0.4694	0.0759	0.1118	0.0561	0.5981	0.1497
4	residual_multimodal	9298	0.8723	0.674	0.5408	0.0973	0.1409	0.0607	0.5969	0.1638
4	residual_atac	9298	0.8147	0.5592	-0.0337	0.0	-0.0006	0.0336	0.6029	0.0941
4	atac5p	9298	0.8147	0.5597		0.0	0.0	0.0333	0.6029	0.0931
