fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	GMseq_to_K562	10143	0.393	0.3076	0.0539	-0.5116	-0.1869	0.0347	0.6042	0.0939
0	GMmm_to_K562	10143	0.8439	0.6059	0.424	0.046	0.0856	0.0429	0.6026	0.1181
0	GMresSeq_to_K562	10143	0.8438	0.5916	0.3827	0.0459	0.0685	0.0363	0.6038	0.0994
0	GMresMM_to_K562	10143	0.8519	0.6182	0.4316	0.0596	0.1006	0.0433	0.6027	0.1192
0	atac_LOCAL	10143	0.8161	0.5306		0.0	0.0	0.0345	0.6048	0.0956
1	GMseq_to_K562	14392	0.4714	0.3279	0.1319	-0.443	-0.1345	0.0394	0.6039	0.1067
1	GMmm_to_K562	14392	0.8452	0.5904	0.4355	0.0491	0.1065	0.0495	0.6018	0.139
1	GMresSeq_to_K562	14392	0.8449	0.5759	0.3879	0.0486	0.0896	0.0413	0.6032	0.1144
1	GMresMM_to_K562	14392	0.8508	0.5873	0.4286	0.0586	0.1029	0.049	0.602	0.1347
1	atac_LOCAL	14392	0.8156	0.4919		0.0	0.0	0.0386	0.6044	0.1123
2	GMseq_to_K562	12801	0.3914	0.3382	0.12	-0.4718	-0.2395	0.0363	0.614	0.0952
2	GMmm_to_K562	12801	0.7958	0.5971	0.3266	0.0083	0.0027	0.0441	0.6124	0.1193
2	GMresSeq_to_K562	12801	0.8135	0.6049	0.3337	0.0368	0.0121	0.0385	0.6134	0.104
2	GMresMM_to_K562	12801	0.81	0.6288	0.3178	0.0311	0.0415	0.0443	0.6122	0.1202
2	atac_LOCAL	12801	0.7905	0.5949		0.0	0.0	0.0337	0.6149	0.0921
3	GMseq_to_K562	12021	0.3832	0.3739	0.0341	-0.5507	-0.1923	0.0371	0.6153	0.1012
3	GMmm_to_K562	12021	0.8462	0.6329	0.3631	0.0184	0.0684	0.047	0.6133	0.132
3	GMresSeq_to_K562	12021	0.8478	0.6179	0.2904	0.0212	0.0497	0.0398	0.6145	0.11
3	GMresMM_to_K562	12021	0.8546	0.6173	0.345	0.0327	0.049	0.0467	0.6133	0.1311
3	atac_LOCAL	12021	0.8352	0.5763		0.0	0.0	0.0374	0.6157	0.1031
4	GMseq_to_K562	9298	0.3801	0.2933	-0.0153	-0.5192	-0.2273	0.0336	0.6025	0.0914
4	GMmm_to_K562	9298	0.8389	0.6363	0.4103	0.0401	0.0915	0.042	0.6009	0.1178
4	GMresSeq_to_K562	9298	0.8356	0.6013	0.3467	0.0345	0.0482	0.0361	0.6018	0.1008
4	GMresMM_to_K562	9298	0.8479	0.6157	0.4199	0.0552	0.0658	0.043	0.6007	0.1194
4	atac_LOCAL	9298	0.8147	0.5597		0.0	0.0	0.0333	0.6029	0.0931
