fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	K562seq_to_GM	10800	0.3377	0.1104	0.0223	-0.5023	-0.1941	0.0267	0.5608	0.071
0	K562mm_to_GM	10800	0.7899	0.4805	0.2669	0.0076	0.0246	0.0361	0.5585	0.1017
0	K562resSeq_to_GM	10800	0.7976	0.517	0.2511	0.0198	0.061	0.0279	0.5604	0.075
0	K562resMM_to_GM	10800	0.796	0.5062	0.2579	0.0173	0.05	0.0357	0.5586	0.1004
0	atac_LOCAL	10800	0.7851	0.4542		0.0	0.0	0.0273	0.5616	0.0811
1	K562seq_to_GM	14362	0.4128	0.1518	0.0786	-0.4373	-0.2149	0.0326	0.5674	0.086
1	K562mm_to_GM	14362	0.8035	0.5426	0.3183	0.038	0.0565	0.0438	0.5648	0.1189
1	K562resSeq_to_GM	14362	0.8006	0.531	0.2979	0.0333	0.044	0.0334	0.5672	0.0881
1	K562resMM_to_GM	14362	0.8059	0.5392	0.3242	0.0417	0.0527	0.0432	0.5648	0.1176
1	atac_LOCAL	14362	0.7796	0.4878		0.0	0.0	0.0328	0.5688	0.093
2	K562seq_to_GM	10491	0.38	0.186	0.0672	-0.4419	-0.2265	0.0286	0.5628	0.0768
2	K562mm_to_GM	10491	0.7787	0.5399	0.2852	0.02	0.0304	0.0382	0.5607	0.1059
2	K562resSeq_to_GM	10491	0.7784	0.5473	0.2406	0.0196	0.0385	0.0298	0.5626	0.0803
2	K562resMM_to_GM	10491	0.7864	0.5681	0.2938	0.0321	0.0616	0.0382	0.5607	0.106
2	atac_LOCAL	10491	0.7657	0.511		0.0	0.0	0.0297	0.5638	0.0863
3	K562seq_to_GM	11028	0.3594	0.1612	0.0133	-0.495	-0.2339	0.0285	0.5686	0.0744
3	K562mm_to_GM	11028	0.7917	0.5157	0.232	0.0026	0.006	0.0391	0.5662	0.1061
3	K562resSeq_to_GM	11028	0.7992	0.5416	0.2242	0.0146	0.0334	0.03	0.5683	0.0781
3	K562resMM_to_GM	11028	0.7988	0.528	0.2405	0.014	0.0189	0.0388	0.5662	0.1055
3	atac_LOCAL	11028	0.79	0.5098		0.0	0.0	0.0302	0.5694	0.085
4	K562seq_to_GM	10463	0.3374	0.1612	0.0435	-0.4643	-0.2434	0.027	0.5647	0.0719
4	K562mm_to_GM	10463	0.7717	0.5426	0.2582	0.0174	0.025	0.0363	0.5627	0.0998
4	K562resSeq_to_GM	10463	0.7696	0.5517	0.2125	0.0141	0.035	0.0279	0.5645	0.0743
4	K562resMM_to_GM	10463	0.7774	0.548	0.2611	0.0262	0.031	0.0359	0.5628	0.098
4	atac_LOCAL	10463	0.7604	0.519		0.0	0.0	0.0276	0.5657	0.0781
