fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	atac_WIDE	10800	0.8109	0.4958	0.2206	0.0171	0.0163	0.0316	0.561	0.0939
0	sequence_narrow	10800	0.5004	0.204	0.1479	-0.3901	-0.188	0.0417	0.5594	0.1143
0	sequence_WIDE	10800	0.5556	0.2363	0.1716	-0.3319	-0.1737	0.0425	0.5593	0.1165
0	multimodal_narrow	10800	0.8375	0.5712	0.4147	0.0609	0.0967	0.0493	0.5575	0.1365
0	multimodal_WIDE	10800	0.8523	0.5859	0.4897	0.0859	0.1137	0.0494	0.5574	0.1371
0	atac_narrow	10800	0.8003	0.4792		0.0	0.0	0.0314	0.561	0.0932
1	atac_WIDE	14362	0.8121	0.5233	0.2471	0.0212	0.006	0.0378	0.5678	0.1073
1	sequence_narrow	14362	0.5293	0.2315	0.2108	-0.3581	-0.2143	0.0487	0.5661	0.1284
1	sequence_WIDE	14362	0.5567	0.2017	0.1981	-0.3283	-0.2272	0.0486	0.5661	0.1274
1	multimodal_narrow	14362	0.8399	0.5714	0.4396	0.0672	0.0585	0.0581	0.5635	0.1547
1	multimodal_WIDE	14362	0.857	0.5886	0.5239	0.0961	0.0786	0.0585	0.5635	0.1559
1	atac_narrow	14362	0.7989	0.5176		0.0	0.0	0.0374	0.5678	0.1062
2	atac_WIDE	10491	0.7968	0.5264	0.2364	0.0219	0.0129	0.034	0.5631	0.0987
2	sequence_narrow	10491	0.5178	0.2852	0.153	-0.3448	-0.1828	0.0432	0.5616	0.1164
2	sequence_WIDE	10491	0.5507	0.3123	0.1821	-0.3097	-0.1666	0.0437	0.5617	0.1192
2	multimodal_narrow	10491	0.8198	0.5957	0.3931	0.0591	0.0907	0.0517	0.5595	0.1411
2	multimodal_WIDE	10491	0.8363	0.6063	0.4734	0.0864	0.1035	0.0516	0.5594	0.1414
2	atac_narrow	10491	0.7829	0.5139		0.0	0.0	0.0336	0.5632	0.0973
3	atac_WIDE	11028	0.8137	0.5406	0.2301	0.0184	0.0165	0.0349	0.5686	0.0984
3	sequence_narrow	11028	0.4662	0.2129	0.0837	-0.4265	-0.2304	0.0441	0.5674	0.1172
3	sequence_WIDE	11028	0.5292	0.2041	0.1302	-0.3638	-0.2341	0.0447	0.5673	0.1186
3	multimodal_narrow	11028	0.8342	0.5893	0.3851	0.0521	0.0716	0.0538	0.5649	0.1438
3	multimodal_WIDE	11028	0.8457	0.5952	0.4468	0.0715	0.0785	0.0535	0.5651	0.1436
3	atac_narrow	11028	0.8024	0.5251		0.0	0.0	0.0341	0.5687	0.0963
4	atac_WIDE	10463	0.787	0.5744	0.2207	0.0192	0.0244	0.0319	0.5649	0.0904
4	sequence_narrow	10463	0.4576	0.2186	0.1197	-0.3908	-0.2577	0.0413	0.5636	0.1108
4	sequence_WIDE	10463	0.4889	0.196	0.121	-0.3612	-0.2671	0.0412	0.5638	0.1109
4	multimodal_narrow	10463	0.8141	0.5998	0.3962	0.0626	0.0543	0.0495	0.5617	0.1332
4	multimodal_WIDE	10463	0.8302	0.6325	0.4718	0.089	0.0945	0.0499	0.5615	0.1341
4	atac_narrow	10463	0.7747	0.5527		0.0	0.0	0.0318	0.565	0.0896
