fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	atac_WIDE	10143	0.8482	0.5838	0.2581	0.019	0.0133	0.0406	0.6034	0.1131
0	sequence_narrow	10143	0.497	0.3539	0.0538	-0.4535	-0.2022	0.0536	0.6007	0.14
0	sequence_WIDE	10143	0.5589	0.3467	0.0822	-0.3881	-0.2073	0.0544	0.6006	0.142
0	multimodal_narrow	10143	0.8865	0.6991	0.5359	0.0853	0.1613	0.0622	0.5982	0.1657
0	multimodal_WIDE	10143	0.8942	0.7269	0.5804	0.0991	0.2008	0.0625	0.5981	0.1671
0	atac_narrow	10143	0.8369	0.5723		0.0	0.0	0.04	0.6036	0.1114
1	atac_WIDE	14392	0.8444	0.5567	0.2635	0.0218	0.0311	0.0456	0.6028	0.1314
1	sequence_narrow	14392	0.5702	0.4251	0.1483	-0.3661	-0.098	0.0606	0.5996	0.1619
1	sequence_WIDE	14392	0.6038	0.3911	0.155	-0.3266	-0.1258	0.0606	0.5994	0.162
1	multimodal_narrow	14392	0.8861	0.6963	0.5522	0.094	0.2061	0.0702	0.5966	0.1904
1	multimodal_WIDE	14392	0.8942	0.7103	0.5927	0.1083	0.2258	0.0704	0.5965	0.1915
1	atac_narrow	14392	0.8314	0.528		0.0	0.0	0.0442	0.6034	0.1268
2	atac_WIDE	12801	0.8105	0.6177	0.206	0.0138	0.0222	0.041	0.6136	0.1142
2	sequence_narrow	12801	0.501	0.4228	0.2377	-0.3921	-0.1805	0.0568	0.6099	0.1483
2	sequence_WIDE	12801	0.5318	0.4211	0.2413	-0.3603	-0.182	0.0569	0.6102	0.1483
2	multimodal_narrow	12801	0.8505	0.6994	0.4796	0.0802	0.1299	0.0644	0.6079	0.1706
2	multimodal_WIDE	12801	0.8606	0.7219	0.5272	0.0974	0.1619	0.0648	0.6077	0.1723
2	atac_narrow	12801	0.802	0.5994		0.0	0.0	0.0403	0.6135	0.1108
3	atac_WIDE	12021	0.8565	0.618	0.2128	0.0115	0.0045	0.0446	0.6143	0.1239
3	sequence_narrow	12021	0.4985	0.438	0.1273	-0.4736	-0.1856	0.0595	0.611	0.1564
3	sequence_WIDE	12021	0.5339	0.441	0.1698	-0.437	-0.1829	0.0593	0.6113	0.1572
3	multimodal_narrow	12021	0.8864	0.7037	0.4789	0.0637	0.1177	0.0679	0.6088	0.1841
3	multimodal_WIDE	12021	0.896	0.7396	0.5404	0.0807	0.1696	0.0679	0.6085	0.1842
3	atac_narrow	12021	0.8497	0.6144		0.0	0.0	0.0441	0.6141	0.1219
4	atac_WIDE	9298	0.8466	0.6258	0.2545	0.0198	0.0269	0.0398	0.6015	0.1126
4	sequence_narrow	9298	0.4962	0.3474	0.1003	-0.4506	-0.2441	0.0542	0.5986	0.145
4	sequence_WIDE	9298	0.5475	0.3537	0.1202	-0.3972	-0.2396	0.0546	0.5989	0.1467
4	multimodal_narrow	9298	0.8811	0.6961	0.5097	0.0794	0.1197	0.0615	0.5965	0.1668
4	multimodal_WIDE	9298	0.8894	0.7357	0.5534	0.0941	0.1765	0.062	0.5964	0.1681
4	atac_narrow	9298	0.8348	0.6039		0.0	0.0	0.0389	0.6016	0.109
