fold	config	n	residual_pearson	partial_r	r_out_vs_atac	overall_pearson	incremental_r2	overall_pearson_topq	incremental_r2_topq
0	sequence5p	10143	0.1108	0.1688	0.4819	0.4785	-0.4354	0.343	-0.1596
0	multimodal5p	10143	0.5805	0.5805	0.9097	0.8812	0.112	0.6836	0.1902
0	residual5p	10143	0.4961	0.4977	-0.0935	0.8646	0.0831	0.6494	0.1445
1	sequence5p	14392	0.2096	0.2579	0.515	0.5477	-0.3634	0.4083	-0.0737
1	multimodal5p	14392	0.5738	0.5729	0.9281	0.8797	0.1105	0.666	0.2032
1	residual5p	14392	0.481	0.4791	-0.1067	0.8606	0.0772	0.6166	0.1397
2	sequence5p	12801	0.2145	0.2581	0.4331	0.4848	-0.3894	0.4059	-0.188
2	multimodal5p	12801	0.5023	0.502	0.9152	0.8472	0.0933	0.6899	0.1232
2	residual5p	12801	0.4323	0.4301	-0.0772	0.833	0.0695	0.6461	0.0646
3	sequence5p	12021	0.1196	0.1552	0.4926	0.4855	-0.4609	0.4257	-0.1513
3	multimodal5p	12021	0.5323	0.5319	0.9317	0.8841	0.0849	0.7068	0.167
3	residual5p	12021	0.4267	0.4259	-0.0818	0.8669	0.0548	0.6699	0.1162
4	sequence5p	9298	0.0908	0.1837	0.4643	0.4724	-0.439	0.3231	-0.2067
4	multimodal5p	9298	0.5678	0.5691	0.9221	0.8784	0.1093	0.688	0.1623
4	residual5p	9298	0.4576	0.4632	-0.0913	0.8571	0.0725	0.6473	0.1078
