config	mode	stratum	n	overall_pearson	residual_pearson	residual_spearman	incremental_r2
sequence5p	sequence	all	58655	0.4996	0.1585	0.1358	-0.4124
sequence5p	sequence	abs_resid_q1	11731	0.5253	0.0325	0.0368	-0.7151
sequence5p	sequence	abs_resid_q2	11731	0.5315	0.0809	0.0834	-0.6546
sequence5p	sequence	abs_resid_q3	11731	0.5076	0.0924	0.088	-0.5809
sequence5p	sequence	abs_resid_q4	11731	0.4946	0.1516	0.1344	-0.4328
sequence5p	sequence	abs_resid_q5	11731	0.4785	0.2609	0.2278	-0.1187
multimodal5p	multimodal	all	58655	0.8742	0.5512	0.5109	0.1022
multimodal5p	multimodal	abs_resid_q1	11731	0.9512	0.0908	0.09	-0.0863
multimodal5p	multimodal	abs_resid_q2	11731	0.9371	0.2359	0.2272	-0.0589
multimodal5p	multimodal	abs_resid_q3	11731	0.9134	0.3686	0.3509	-0.0043
multimodal5p	multimodal	abs_resid_q4	11731	0.877	0.5356	0.5111	0.0917
multimodal5p	multimodal	abs_resid_q5	11731	0.8037	0.7115	0.7066	0.2982
residual5p	sequence	all	58655	0.8562	0.4586	0.417	0.071
residual5p	sequence	abs_resid_q1	11731	0.9609	0.067	0.0659	-0.0677
residual5p	sequence	abs_resid_q2	11731	0.9444	0.1856	0.1754	-0.0451
residual5p	sequence	abs_resid_q3	11731	0.9133	0.3025	0.2789	-0.0044
residual5p	sequence	abs_resid_q4	11731	0.8588	0.4329	0.3999	0.0602
residual5p	sequence	abs_resid_q5	11731	0.7494	0.6379	0.6349	0.214
