fold	config	n	residual_pearson	partial_r	r_out_vs_atac	overall_pearson	incremental_r2	overall_pearson_topq	incremental_r2_topq
0	sequence5p	10143	0.1108	0.1689	0.4819	0.4785	-0.4354	0.343	-0.1596
0	multimodal5p	10143	0.5804	0.5805	0.9097	0.8812	0.112	0.6836	0.1902
0	residual_sequence	10143	0.4961	0.4977	-0.0935	0.8646	0.0831	0.6494	0.1445
0	residual_multimodal	10143	0.5447	0.5454	0.0375	0.8742	0.0998	0.6581	0.1559
0	residual_atac	10143	0.0319	0.0366	-0.6568	0.8154	0.0004	0.5248	-0.0018
1	sequence5p	14392	0.2096	0.2579	0.515	0.5477	-0.3634	0.4083	-0.0737
1	multimodal5p	14392	0.5738	0.5729	0.9281	0.8797	0.1105	0.666	0.2031
1	residual_sequence	14392	0.481	0.4791	-0.1067	0.8606	0.0772	0.6166	0.1397
1	residual_multimodal	14392	0.5387	0.5474	0.1048	0.8734	0.0995	0.6478	0.1792
1	residual_atac	14392	0.0576	0.0343	-0.9366	0.8147	0.0004	0.4903	-0.0
2	sequence5p	12801	0.2145	0.258	0.4331	0.4848	-0.3894	0.4059	-0.1881
2	multimodal5p	12801	0.5023	0.502	0.9152	0.8472	0.0933	0.6899	0.1232
2	residual_sequence	12801	0.4323	0.4301	-0.0772	0.833	0.0695	0.6461	0.0646
2	residual_multimodal	12801	0.4667	0.4721	0.0691	0.8414	0.0836	0.6785	0.1076
2	residual_atac	12801	-0.0682	-0.0634	0.1004	0.7894	-0.0013	0.588	-0.0071
3	sequence5p	12021	0.1195	0.1552	0.4926	0.4855	-0.4609	0.4257	-0.1513
3	multimodal5p	12021	0.5324	0.532	0.9317	0.8841	0.0849	0.7068	0.1671
3	residual_sequence	12021	0.4267	0.4259	-0.0818	0.8669	0.0548	0.6698	0.1162
3	residual_multimodal	12021	0.4936	0.4972	0.0712	0.8783	0.0748	0.6986	0.1555
3	residual_atac	12021	-0.0004	-0.0277	-0.6795	0.8341	-0.0009	0.5714	-0.006
4	sequence5p	9298	0.0908	0.1837	0.4643	0.4724	-0.439	0.3231	-0.2067
4	multimodal5p	9298	0.5678	0.5691	0.9221	0.8784	0.1093	0.688	0.1623
4	residual_sequence	9298	0.4576	0.4632	-0.0913	0.8571	0.0725	0.6472	0.1078
4	residual_multimodal	9298	0.5285	0.5279	0.1098	0.8695	0.0939	0.6667	0.1334
4	residual_atac	9298	-0.0345	0.0008	-0.9275	0.8137	-0.0	0.5572	-0.0007
