config	mode	stratum	n	overall_pearson	residual_pearson	residual_spearman	incremental_r2
sequence5p	sequence	all	58655	0.4996	0.1585	0.1358	-0.4124
sequence5p	sequence	abs_resid_q1	11731	0.5243	0.0321	0.0366	-0.7161
sequence5p	sequence	abs_resid_q2	11731	0.5325	0.0808	0.0832	-0.6536
sequence5p	sequence	abs_resid_q3	11731	0.5077	0.0927	0.0882	-0.5806
sequence5p	sequence	abs_resid_q4	11731	0.4947	0.1514	0.1343	-0.4329
sequence5p	sequence	abs_resid_q5	11731	0.4784	0.2609	0.2278	-0.1187
multimodal5p	multimodal	all	58655	0.8742	0.5512	0.5109	0.1022
multimodal5p	multimodal	abs_resid_q1	11731	0.9512	0.0909	0.0902	-0.0863
multimodal5p	multimodal	abs_resid_q2	11731	0.9371	0.2358	0.2272	-0.0589
multimodal5p	multimodal	abs_resid_q3	11731	0.9134	0.3688	0.3514	-0.0042
multimodal5p	multimodal	abs_resid_q4	11731	0.8771	0.5357	0.5114	0.0917
multimodal5p	multimodal	abs_resid_q5	11731	0.8036	0.7115	0.7067	0.2982
residual_sequence	sequence	all	58655	0.8562	0.4586	0.417	0.071
residual_sequence	sequence	abs_resid_q1	11731	0.9609	0.0664	0.0652	-0.0678
residual_sequence	sequence	abs_resid_q2	11731	0.9445	0.1858	0.1754	-0.045
residual_sequence	sequence	abs_resid_q3	11731	0.9132	0.3027	0.2791	-0.0044
residual_sequence	sequence	abs_resid_q4	11731	0.8589	0.4329	0.3998	0.0601
residual_sequence	sequence	abs_resid_q5	11731	0.7494	0.6379	0.635	0.214
residual_multimodal	multimodal	all	58655	0.8674	0.5134	0.4713	0.0905
residual_multimodal	multimodal	abs_resid_q1	11731	0.9601	0.0729	0.0714	-0.0692
residual_multimodal	multimodal	abs_resid_q2	11731	0.9442	0.2084	0.1944	-0.0455
residual_multimodal	multimodal	abs_resid_q3	11731	0.9164	0.3401	0.3181	0.0014
residual_multimodal	multimodal	abs_resid_q4	11731	0.87	0.4919	0.4629	0.0793
residual_multimodal	multimodal	abs_resid_q5	11731	0.7777	0.6783	0.6808	0.2573
residual_atac	atac	all	58655	0.8129	0.0095	-0.0109	-0.0011
residual_atac	atac	abs_resid_q1	11731	0.9949	0.0218	0.0211	-0.0012
residual_atac	atac	abs_resid_q2	11731	0.9673	0.0123	0.0104	-0.0013
residual_atac	atac	abs_resid_q3	11731	0.9148	-0.0052	-0.0101	-0.0015
residual_atac	atac	abs_resid_q4	11731	0.8224	0.0	-0.0154	-0.0013
residual_atac	atac	abs_resid_q5	11731	0.5888	0.0159	-0.0106	-0.0008
