position	mean_all	median_all	mean_decile4	mean_decile6	mean_decile8	mean_decile10
-9975.0	3.95962	1.0	1.4606135	2.6279268	5.382359	14.04294
-9925.0	3.9648438	1.0	1.444749	2.5812075	5.32613	14.403769
-9875.0	3.9779162	1.0	1.4346588	2.5223396	5.227356	14.789843
-9825.0	3.9955785	1.0	1.4095968	2.4699981	5.1698627	15.199154
-9775.0	4.0072184	1.0	1.3813148	2.4491272	5.108072	15.528478
-9725.0	4.0207767	1.0	1.3568318	2.448781	5.0338907	15.840586
-9675.0	4.0353427	1.0	1.3321636	2.4429939	4.985575	16.013592
-9625.0	4.04587	1.0	1.3254082	2.4260857	4.9592547	16.199299
-9575.0	4.053806	1.0	1.3299643	2.4074538	4.9167304	16.382593
-9525.0	4.0676503	1.0	1.3352522	2.3461535	4.870306	16.74159
-9475.0	4.06339	1.0	1.3356521	2.2718067	4.8478584	16.921759
-9425.0	4.076979	1.0	1.3405796	2.2263699	4.8427434	17.159882
-9375.0	4.078959	1.0	1.3406929	2.2022142	4.8389125	17.262579
-9325.0	4.07184	1.0	1.3296903	2.1699677	4.8480325	17.300247
-9275.0	4.0703444	1.0	1.3208205	2.17166	4.857809	17.29297
-9225.0	4.0747533	1.0	1.3197398	2.188013	4.83392	17.348629
-9175.0	4.0659637	1.0	1.3060758	2.1709864	4.816028	17.401867
-9125.0	4.060367	1.0	1.2814945	2.1525726	4.762907	17.522896
-9075.0	4.0655565	1.0	1.2756785	2.1699007	4.673796	17.80177
-9025.0	4.0774326	1.0	1.2575135	2.173647	4.6428185	18.099524
-8975.0	4.1031795	1.0	1.244888	2.1653736	4.605023	18.5077
-8925.0	4.1105185	1.0	1.2521179	2.1529202	4.572406	18.764017
-8875.0	4.104888	1.0	1.2720503	2.122929	4.563043	18.890156
-8825.0	4.1001105	1.0	1.2762053	2.0834374	4.5669475	18.867489
-8775.0	4.09773	1.0	1.2847198	2.0523605	4.536256	18.867994
-8725.0	4.0739803	1.0	1.2810467	2.021106	4.4830985	18.6956
-8675.0	4.062262	1.0	1.2651687	2.006039	4.4247475	18.599407
-8625.0	4.046511	1.0	1.2580864	2.0120072	4.340923	18.457785
-8575.0	4.0316753	1.0	1.2525905	2.0173733	4.270221	18.416304
-8525.0	4.0107994	1.0	1.2382663	2.0140655	4.252244	18.260002
-8475.0	4.0216455	1.0	1.2425737	2.0549603	4.298966	18.285175
-8425.0	4.0242653	1.0	1.2550845	2.0848405	4.3290024	18.29287
