config	mode	half_window	n_folds	stratum	n	pearson	spearman
atac_hw500_clw1000	atac	500	2	all	24535	0.7441	0.7695
atac_hw500_clw1000	atac	500	2	quintile1	4907	0.2401	0.2272
atac_hw500_clw1000	atac	500	2	quintile2	4907	0.1237	0.1329
atac_hw500_clw1000	atac	500	2	quintile3	4907	0.1726	0.186
atac_hw500_clw1000	atac	500	2	quintile4	4907	0.3568	0.3636
atac_hw500_clw1000	atac	500	2	quintile5	4907	0.4945	0.5082
atac_hw500_clw1000	atac	500	2	top_quintile	4907	0.4945	0.5082
atac_hw500_clw1000	atac	500	2	top_two_quintiles	9814	0.6973	0.7066
multimodal_hw1000_clw1000	multimodal	1000	1	all	10143	0.8514	0.8477
multimodal_hw1000_clw1000	multimodal	1000	1	quintile1	2029	0.4195	0.3848
multimodal_hw1000_clw1000	multimodal	1000	1	quintile2	2028	0.1738	0.1888
multimodal_hw1000_clw1000	multimodal	1000	1	quintile3	2029	0.2845	0.293
multimodal_hw1000_clw1000	multimodal	1000	1	quintile4	2028	0.4111	0.4378
multimodal_hw1000_clw1000	multimodal	1000	1	quintile5	2029	0.6585	0.6566
multimodal_hw1000_clw1000	multimodal	1000	1	top_quintile	2029	0.6585	0.6566
multimodal_hw1000_clw1000	multimodal	1000	1	top_two_quintiles	4057	0.7924	0.7926
multimodal_hw500_clw1000	multimodal	500	5	all	58655	0.8094	0.8357
multimodal_hw500_clw1000	multimodal	500	5	quintile1	11731	0.3572	0.3452
multimodal_hw500_clw1000	multimodal	500	5	quintile2	11731	0.1847	0.1914
multimodal_hw500_clw1000	multimodal	500	5	quintile3	11731	0.2174	0.2266
multimodal_hw500_clw1000	multimodal	500	5	quintile4	11731	0.3712	0.3784
multimodal_hw500_clw1000	multimodal	500	5	quintile5	11731	0.6683	0.6714
multimodal_hw500_clw1000	multimodal	500	5	top_quintile	11731	0.6683	0.6714
multimodal_hw500_clw1000	multimodal	500	5	top_two_quintiles	23462	0.7823	0.7713
sequence_hw1000_clw1000	sequence	1000	1	all	14392	0.4837	0.4259
sequence_hw1000_clw1000	sequence	1000	1	quintile1	2879	0.0198	0.0636
sequence_hw1000_clw1000	sequence	1000	1	quintile2	2878	0.0584	0.0664
sequence_hw1000_clw1000	sequence	1000	1	quintile3	2878	0.0722	0.0671
sequence_hw1000_clw1000	sequence	1000	1	quintile4	2878	0.1196	0.1138
sequence_hw1000_clw1000	sequence	1000	1	quintile5	2879	0.3696	0.3558
sequence_hw1000_clw1000	sequence	1000	1	top_quintile	2879	0.3696	0.3558
sequence_hw1000_clw1000	sequence	1000	1	top_two_quintiles	5757	0.4906	0.4561
sequence_hw500_clw1000	sequence	500	5	all	58655	0.4103	0.3854
sequence_hw500_clw1000	sequence	500	5	quintile1	11731	0.0681	0.0975
sequence_hw500_clw1000	sequence	500	5	quintile2	11731	0.0473	0.0499
sequence_hw500_clw1000	sequence	500	5	quintile3	11731	0.0497	0.0543
sequence_hw500_clw1000	sequence	500	5	quintile4	11731	0.0764	0.0709
sequence_hw500_clw1000	sequence	500	5	quintile5	11731	0.3567	0.3422
sequence_hw500_clw1000	sequence	500	5	top_quintile	11731	0.3567	0.3422
sequence_hw500_clw1000	sequence	500	5	top_two_quintiles	23462	0.4333	0.3846
sequence_hw500_clw10000	sequence	500	1	all	10143	0.3976	0.3782
sequence_hw500_clw10000	sequence	500	1	quintile1	2029	0.1031	0.1404
sequence_hw500_clw10000	sequence	500	1	quintile2	2028	0.0165	0.0332
sequence_hw500_clw10000	sequence	500	1	quintile3	2029	0.058	0.0531
sequence_hw500_clw10000	sequence	500	1	quintile4	2028	0.0567	0.0495
sequence_hw500_clw10000	sequence	500	1	quintile5	2029	0.3326	0.3349
sequence_hw500_clw10000	sequence	500	1	top_quintile	2029	0.3326	0.3349
sequence_hw500_clw10000	sequence	500	1	top_two_quintiles	4057	0.388	0.3425
