Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	1924	74.91124248504639	2.822023630142212	123.96937561035156	0.47877416014671326	180.80531311035156	0.04648221	0.7831776	0.6964737772941589	True
1	3848	44.26435399055481	2.1720526218414307	400.821533203125	3.1038193702697754	179.06719970703125	0.049408194	0.7885968	0.820303201675415	True
2	5772	44.21377682685852	2.2331430912017822	79.80035400390625	0.2498629093170166	178.85076904296875	0.05089514	0.7830712	0.6966966986656189	True
3	7696	44.17153882980347	2.233797788619995	269.38311767578125	0.3317074477672577	177.8574676513672	0.05213198	0.7912543	0.6805757284164429	True
4	9620	44.14949011802673	2.10438871383667	183.31253051757812	0.25728002190589905	177.74163818359375	0.052276686	0.7990424	0.708942174911499	False
5	11544	44.06536078453064	2.1639838218688965	167.1204071044922	0.7739337682723999	178.9549102783203	0.05241072	0.7973751	0.6690542697906494	False
6	13468	44.064032554626465	2.076702117919922	125.87210845947266	0.5655445456504822	177.7621612548828	0.05233204	0.8017316	0.6405253410339355	True
7	15392	43.40581393241882	2.067918539047241	318.190185546875	0.4459206461906433	177.53016662597656	0.053576805	0.7988753	0.7716077566146851	False
8	17316	43.411710262298584	1.9043166637420654	272.96826171875	1.1898365020751953	177.47695922851562	0.054175083	0.803997	0.6576585173606873	True
9	19240	43.40217638015747	2.0390117168426514	283.0860290527344	1.0161714553833008	177.38385009765625	0.054399308	0.79983366	0.6571880578994751	True
10	21164	43.60860872268677	2.1886446475982666	170.7736358642578	1.6484736204147339	176.8526611328125	0.05424797	0.8038078	0.6837776899337769	True
11	23088	43.935550928115845	2.159339666366577	101.77237701416016	0.37756532430648804	177.1311798095703	0.054093223	0.8080492	0.7166296243667603	False
12	25012	43.61782622337341	1.8994090557098389	219.9456024169922	1.0702106952667236	176.7178192138672	0.054496795	0.80453616	0.6487236022949219	True
13	26936	43.41471457481384	2.078714609146118	221.60806274414062	0.3650679290294647	176.70220947265625	0.054431695	0.7999269	0.6523969173431396	False
14	28860	43.45862436294556	2.070899724960327	294.619140625	0.7070550322532654	176.85821533203125	0.0543526	0.8059112	0.6280180215835571	True
15	30784	43.56312918663025	2.202676296234131	198.09617614746094	0.3533303439617157	176.7986297607422	0.054166388	0.80577254	0.6618816256523132	False
16	32708	43.50560259819031	1.9041156768798828	214.5377960205078	0.5845643877983093	177.00291442871094	0.054621547	0.80744755	0.6254888772964478	False
17	34632	43.42601919174194	2.0844013690948486	149.37725830078125	0.4409054219722748	176.66162109375	0.054294243	0.8108998	0.6180814504623413	True
18	36556	43.46210312843323	2.078540086746216	182.69090270996094	0.2905934453010559	177.06863403320312	0.053891525	0.80790436	0.623012900352478	False
19	38480	44.46061182022095	2.1736440658569336	186.6329803466797	1.3827518224716187	176.65927124023438	0.054652836	0.8022377	0.6546866297721863	False
20	40404	44.447415590286255	2.1066296100616455	236.05682373046875	2.504760265350342	176.7340087890625	0.054470226	0.80789846	0.6330087184906006	False
21	42328	44.29612755775452	2.231851816177368	161.1845703125	0.9218167662620544	176.81314086914062	0.05448557	0.8104716	0.6323702335357666	False
22	44252	44.27406716346741	2.2367138862609863	191.2147979736328	0.3820318877696991	177.5828857421875	0.054462466	0.80834156	0.6362961530685425	False
23	46176	44.37599802017212	2.143087148666382	73.3230972290039	0.3438999056816101	176.76858520507812	0.054528613	0.79958266	0.6523072123527527	False
24	48100	44.41064262390137	2.150350570678711	151.8563995361328	0.40291523933410645	176.6057586669922	0.055041466	0.8110489	0.6548835039138794	False
25	50024	44.30197262763977	2.2569680213928223	47.92884063720703	0.5559110045433044	176.45445251464844	0.055170532	0.8078716	0.6318392753601074	True
26	51948	44.27391815185547	2.2327709197998047	170.470703125	0.39094290137290955	176.93728637695312	0.054926988	0.80982447	0.6230829954147339	False
27	53872	44.273725271224976	2.133981704711914	256.1741638183594	0.49767762422561646	176.57388305664062	0.054734413	0.80980057	0.6236938238143921	False
28	55796	44.25049662590027	2.1476686000823975	131.17935180664062	0.39285850524902344	176.6958465576172	0.054391723	0.81289995	0.6967136859893799	False
29	57720	43.9911413192749	2.2203140258789062	104.10445404052734	0.5141028165817261	176.68531799316406	0.05447314	0.81049174	0.6700043678283691	False
30	59644	43.977662324905396	2.216195583343506	225.8946533203125	0.2407134771347046	176.68836975097656	0.054184385	0.803142	0.641308605670929	False
31	61568	44.01703715324402	2.102266788482666	216.67428588867188	2.1933693885803223	176.59054565429688	0.054723762	0.8094075	0.6228505969047546	False
32	63492	44.39182257652283	2.193646192550659	178.27325439453125	0.25264495611190796	176.5475616455078	0.05475733	0.8108057	0.6233289241790771	False
33	65416	43.94674348831177	2.227771759033203	120.90721130371094	0.6247698664665222	176.5687713623047	0.054734837	0.8084606	0.6272367835044861	False
34	67340	43.914308309555054	2.2220513820648193	228.37808227539062	0.5371239185333252	176.7019805908203	0.054792617	0.8111512	0.6400938630104065	False
35	69264	43.89020013809204	2.0370705127716064	140.87120056152344	0.7136415243148804	176.65133666992188	0.054805987	0.8111299	0.6351733803749084	False
