Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	1805	158.76306223869324	4.686492204666138	2866.8427734375	5.696756839752197	2960.307373046875	0.36493754	0.17571229	2.96115779876709	True
1	3610	103.04868626594543	2.6995766162872314	1287.70263671875	11.651782035827637	2901.326171875	0.3718479	0.19469059	3.0976920127868652	True
2	5415	103.33561301231384	2.6926445960998535	2839.270263671875	2.403773307800293	2868.559814453125	0.37847131	0.19166079	3.010260820388794	True
3	7220	103.38211798667908	2.6935043334960938	3009.37548828125	5.970505714416504	2848.818603515625	0.37838313	0.19099697	3.0209507942199707	True
4	9025	103.22865605354309	2.697396993637085	2519.90283203125	5.301799774169922	2845.54833984375	0.38083127	0.1985044	2.8983495235443115	True
5	10830	103.05114650726318	2.706425666809082	3583.8740234375	2.137157440185547	2840.221923828125	0.37893572	0.19765267	2.9776742458343506	True
6	12635	102.9758288860321	2.708134651184082	3582.759765625	2.103656053543091	2835.56591796875	0.38308197	0.1954105	2.9575448036193848	True
7	14440	103.26158833503723	2.7053091526031494	1996.01220703125	2.19526743888855	2824.68505859375	0.3837189	0.18232228	2.9788527488708496	True
8	16245	103.02332878112793	2.7161478996276855	2776.24560546875	1.543229341506958	2858.93017578125	0.37119094	0.20773937	2.8704679012298584	False
9	18050	103.01866459846497	2.71134877204895	2311.4833984375	1.363618016242981	2813.619873046875	0.3808912	0.20515804	2.9940590858459473	True
10	19855	104.10735559463501	2.722341299057007	2079.677001953125	5.972764492034912	2819.042724609375	0.38655826	0.19564131	3.0892906188964844	False
11	21660	104.16001009941101	2.710296154022217	2183.823486328125	9.00175952911377	2833.357177734375	0.37948444	0.20957832	3.0218405723571777	False
12	23465	126.11520600318909	5.483779430389404	3367.342529296875	2.480097770690918	2839.404052734375	0.3780879	0.20669912	2.9028658866882324	False
13	25270	104.15351510047913	2.7124507427215576	2709.845703125	2.545713186264038	2837.85107421875	0.37767506	0.20768453	2.9314868450164795	False
14	27075	103.9085054397583	2.7178103923797607	2898.12353515625	2.496856689453125	2820.57568359375	0.3792802	0.19800796	2.895498514175415	False
