mode	half_window	count_loss_weight	fold	n_epochs	checkpoint_epoch	checkpoint_count_pearson	checkpoint_profile_pearson	best_count_pearson	final_val_mnll
atac	500	1000	0	81	70	0.7441	0.3127	0.7441	2964.8433
multimodal	500	1000	0	39	28	0.8112	0.4641	0.8117	2431.0127
multimodal	500	1000	1	33	29	0.8174	0.4744	0.8174	2703.8655
multimodal	500	1000	2	36	32	0.7808	0.4613	0.7808	2655.7041
multimodal	500	1000	3	43	33	0.8240	0.4840	0.8248	2754.7754
sequence	500	1000	0	27	16	0.3910	0.3911	0.4061	2778.8484
sequence	500	10000	0	33	22	0.3976	0.3707	0.3976	2888.5212
sequence	500	1000	1	31	20	0.4530	0.3769	0.4546	3303.4456
sequence	500	1000	2	27	16	0.4081	0.4017	0.4081	2980.6367
sequence	500	1000	3	25	14	0.3996	0.4194	0.4176	3163.6213
sequence	500	1000	4	27	16	0.3838	0.3876	0.3980	2874.4729
multimodal	1000	1000	0	36	25	0.8514	0.5193	0.8561	5048.6421
sequence	1000	1000	1	27	16	0.4837	0.4172	0.4984	7166.3374
